NOC21_2 digit,NOC21_5 digit
31 Professional occupations in health,31101 Specialists in surgery
31 Professional occupations in health,31102 General practitioners and family physicians
31 Professional occupations in health,31103 Veterinarians
31 Professional occupations in health,31110 Dentists
31 Professional occupations in health,31111 Optometrists
31 Professional occupations in health,31112 Audiologists and speech-language pathologists
31 Professional occupations in health,31120 Pharmacists
31 Professional occupations in health,31121 Dietitians and nutritionists
31 Professional occupations in health,31200 Psychologists
31 Professional occupations in health,31201 Chiropractors
31 Professional occupations in health,31202 Physiotherapists
31 Professional occupations in health,31203 Occupational therapists
31 Professional occupations in health,31204 Kinesiologists and other professional occupations in therapy and assessment
31 Professional occupations in health,31209 Other professional occupations in health diagnosing and treating
31 Professional occupations in health,31300 Nursing coordinators and supervisors
31 Professional occupations in health,31301 Registered nurses and registered psychiatric nurses
31 Professional occupations in health,31302 Nurse practitioners
31 Professional occupations in health,"31303 Physician assistants, midwives and allied health professionals"
32 Technical occupations in health,32100 Opticians
32 Technical occupations in health,32101 Licensed practical nurses
32 Technical occupations in health,32102 Paramedical occupations
32 Technical occupations in health,"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
32 Technical occupations in health,32104 Animal health technologists and veterinary technicians
32 Technical occupations in health,32109 Other technical occupations in therapy and assessment
32 Technical occupations in health,32110 Denturists
32 Technical occupations in health,32111 Dental hygienists and dental therapists
32 Technical occupations in health,32112 Dental technologists and technicians
32 Technical occupations in health,32120 Medical laboratory technologists
32 Technical occupations in health,32121 Medical radiation technologists
32 Technical occupations in health,32122 Medical sonographers
32 Technical occupations in health,32123 Cardiology technologists and electrophysiological diagnostic technologists
32 Technical occupations in health,32124 Pharmacy technicians
32 Technical occupations in health,32129 Other medical technologists and technicians
32 Technical occupations in health,32200 Traditional Chinese medicine practitioners and acupuncturists
32 Technical occupations in health,32201 Massage therapists
32 Technical occupations in health,32209 Other practitioners of natural healing
33 Assisting occupations in support of health services,33100 Dental assistants and dental laboratory assistants
33 Assisting occupations in support of health services,33101 Medical laboratory assistants and related technical occupations
33 Assisting occupations in support of health services,"33102 Nurse aides, orderlies and patient service associates"
33 Assisting occupations in support of health services,33103 Pharmacy technical assistants and pharmacy assistants
33 Assisting occupations in support of health services,33109 Other assisting occupations in support of health services
"40 Managers in public administration, in education and social and community services and in public protection services",40010 Government managers - health and social policy development and program administration
"40 Managers in public administration, in education and social and community services and in public protection services","40011 Government managers - economic analysis, policy development and program administration"
"40 Managers in public administration, in education and social and community services and in public protection services",40012 Government managers - education policy development and program administration
"40 Managers in public administration, in education and social and community services and in public protection services",40019 Other managers in public administration
"40 Managers in public administration, in education and social and community services and in public protection services",40020 Administrators - post-secondary education and vocational training
"40 Managers in public administration, in education and social and community services and in public protection services",40021 School principals and administrators of elementary and secondary education
"40 Managers in public administration, in education and social and community services and in public protection services","40030 Managers in social, community and correctional services"
"40 Managers in public administration, in education and social and community services and in public protection services",40040 Commissioned police officers and related occupations in public protection services
"40 Managers in public administration, in education and social and community services and in public protection services",40041 Fire chiefs and senior firefighting officers
"40 Managers in public administration, in education and social and community services and in public protection services",40042 Commissioned officers of the Canadian Armed Forces
"41 Professional occupations in law, education, social, community and government services",41100 Judges
"41 Professional occupations in law, education, social, community and government services",41101 Lawyers and Quebec notaries
"41 Professional occupations in law, education, social, community and government services",41200 University professors and lecturers
"41 Professional occupations in law, education, social, community and government services",41201 Post-secondary teaching and research assistants
"41 Professional occupations in law, education, social, community and government services",41210 College and other vocational instructors
"41 Professional occupations in law, education, social, community and government services",41220 Secondary school teachers
"41 Professional occupations in law, education, social, community and government services",41221 Elementary school and kindergarten teachers
"41 Professional occupations in law, education, social, community and government services",41300 Social workers
"41 Professional occupations in law, education, social, community and government services",41301 Therapists in counselling and related specialized therapies
"41 Professional occupations in law, education, social, community and government services",41302 Religious leaders
"41 Professional occupations in law, education, social, community and government services",41310 Police investigators and other investigative occupations
"41 Professional occupations in law, education, social, community and government services",41311 Probation and parole officers
"41 Professional occupations in law, education, social, community and government services",41320 Educational counsellors
"41 Professional occupations in law, education, social, community and government services",41321 Career development practitioners and career counsellors (except education)
"41 Professional occupations in law, education, social, community and government services","41400 Natural and applied science policy researchers, consultants and program officers"
"41 Professional occupations in law, education, social, community and government services",41401 Economists and economic policy researchers and analysts
"41 Professional occupations in law, education, social, community and government services",41402 Business development officers and market researchers and analysts
"41 Professional occupations in law, education, social, community and government services","41403 Social policy researchers, consultants and program officers"
"41 Professional occupations in law, education, social, community and government services","41404 Health policy researchers, consultants and program officers"
"41 Professional occupations in law, education, social, community and government services","41405 Education policy researchers, consultants and program officers"
"41 Professional occupations in law, education, social, community and government services","41406 Recreation, sports and fitness policy researchers, consultants and program officers"
"41 Professional occupations in law, education, social, community and government services",41407 Program officers unique to government
"41 Professional occupations in law, education, social, community and government services",41409 Other professional occupations in social science
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42100 Police officers (except commissioned)
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42101 Firefighters
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42102 Specialized members of the Canadian Armed Forces
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42200 Paralegals and related occupations
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42201 Social and community service workers
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42202 Early childhood educators and assistants
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42203 Instructors of persons with disabilities
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",42204 Religion workers
43 Assisting occupations in education and in legal and public protection,43100 Elementary and secondary school teacher assistants
43 Assisting occupations in education and in legal and public protection,43109 Other instructors
43 Assisting occupations in education and in legal and public protection,43200 Sheriffs and bailiffs
43 Assisting occupations in education and in legal and public protection,43201 Correctional service officers
43 Assisting occupations in education and in legal and public protection,43202 By-law enforcement and other regulatory officers
43 Assisting occupations in education and in legal and public protection,"43203 Border services, customs, and immigration officers"
43 Assisting occupations in education and in legal and public protection,43204 Operations members of the Canadian Armed Forces
44 Care providers and legal and public protection support occupations,44100 Home child care providers
44 Care providers and legal and public protection support occupations,"44101 Home support workers, caregivers and related occupations"
44 Care providers and legal and public protection support occupations,44200 Primary combat members of the Canadian Armed Forces
"45 Student monitors, crossing guards and related occupations","45100 Student monitors, crossing guards and related occupations"
"50 Specialized middle management occupations in art, culture, recreation and sport","50010 Library, archive, museum and art gallery managers"
"50 Specialized middle management occupations in art, culture, recreation and sport","50011 Managers - publishing, motion pictures, broadcasting and performing arts"
"50 Specialized middle management occupations in art, culture, recreation and sport","50012 Recreation, sports and fitness program and service directors"
51 Professional occupations in art and culture,51100 Librarians
51 Professional occupations in art and culture,51101 Conservators and curators
51 Professional occupations in art and culture,51102 Archivists
51 Professional occupations in art and culture,51110 Editors
51 Professional occupations in art and culture,51111 Authors and writers (except technical)
51 Professional occupations in art and culture,51112 Technical writers
51 Professional occupations in art and culture,51113 Journalists
51 Professional occupations in art and culture,"51114 Translators, terminologists and interpreters"
51 Professional occupations in art and culture,"51120 Producers, directors, choreographers and related occupations"
51 Professional occupations in art and culture,"51121 Conductors, composers and arrangers"
51 Professional occupations in art and culture,51122 Musicians and singers
"52 Technical occupations in art, culture and sport",52100 Library and public archive technicians
"52 Technical occupations in art, culture and sport",52110 Film and video camera operators
"52 Technical occupations in art, culture and sport",52111 Graphic arts technicians
"52 Technical occupations in art, culture and sport",52112 Broadcast technicians
"52 Technical occupations in art, culture and sport",52113 Audio and video recording technicians
"52 Technical occupations in art, culture and sport",52114 Announcers and other broadcasters
"52 Technical occupations in art, culture and sport","52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
"52 Technical occupations in art, culture and sport",52120 Graphic designers and illustrators
