"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"2210 Technical occupations in physical sciences","505","81,000","87,200"
"22100 Chemical technologists and technicians","75","57,600","62,000"
"22101 Geological and mineral technologists and technicians","430","89,000","91,600"
"2211 Technical occupations in life sciences","930","44,800","48,000"
"22110 Biological technologists and technicians","250","60,000","52,400"
"22111 Agricultural and fish products inspectors","90","61,600","52,000"
"22112 Forestry technologists and technicians","100","58,400","50,000"
"22113 Conservation and fishery officers","415","31,400","45,400"
"22114 Landscape and horticulture technicians and specialists","75","37,600","40,000"
"222 Technical occupations related to applied sciences (except engineering)","2,695","64,500","68,600"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","535","55,200","59,000"
"22210 Architectural technologists and technicians","70","54,800","50,000"
"22211 Industrial designers","25","0","72,000"
"22212 Drafting technologists and technicians","240","52,000","58,000"
"22213 Land survey technologists and technicians","50","24,000","56,000"
"22214 Technical occupations in geomatics and meteorology","155","66,000","64,000"
"2222 Technical occupations in computer and information systems","1,085","64,500","65,400"
"22220 Computer network and web technicians","655","65,500","69,000"
"22221 User support technicians","420","63,200","60,400"
"22222 Information systems testing technicians","0","0","0"
"2223 Technical inspectors and regulatory officers","1,070","69,500","76,800"
"22230 Non-destructive testers and inspectors","225","77,000","84,000"
"22231 Engineering inspectors and regulatory officers","115","81,000","94,000"
"22232 Occupational health and safety specialists","395","67,500","73,200"
"22233 Construction inspectors","335","62,800","70,000"
"223 Technical occupations related to engineering","2,710","72,000","75,600"
"2230 Technical occupations in civil, mechanical and industrial engineering","1,015","72,000","74,400"
"22300 Civil engineering technologists and technicians","395","64,000","66,000"
