Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
12100 Executive assistants,"12,700","58,800","64,100",Quebec
12101 Human resources and recruitment officers,"13,085","53,200","57,250",Quebec
12102 Procurement and purchasing agents and officers,"13,260","59,200","62,950",Quebec
12103 Conference and event planners,"4,160","36,800","39,960",Quebec
12104 Employment insurance and revenue officers,"6,550","55,200","55,000",Quebec
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","5,695","46,400","44,720",Quebec
"12110 Court reporters, medical transcriptionists and related occupations","1,965","37,600","33,240",Quebec
12111 Health information management occupations,"2,005","56,000","52,950",Quebec
12112 Records management technicians,995,"50,400","48,800",Quebec
12113 Statistical officers and related research support occupations,730,"44,400","47,400",Quebec
"122 Accounting, insurance and related business administrative occupations","43,500","45,200","47,800",Quebec
"1220 Accounting, insurance and related business administrative occupations","43,500","45,200","47,800",Quebec
12200 Accounting technicians and bookkeepers,"28,890","40,000","40,840",Quebec
12201 Insurance adjusters and claims examiners,"6,655","58,400","62,400",Quebec
12202 Insurance underwriters,"2,800","62,400","66,200",Quebec
"12203 Assessors, business valuators and appraisers","5,150","50,000","58,000",Quebec
13 Administrative occupations and transportation logistics occupations,"198,535","42,000","43,240",Quebec
131 Administrative occupations,"184,465","41,600","42,440",Quebec
"1310 Administrative, property and payroll officers","83,625","46,400","49,240",Quebec
13100 Administrative officers,"70,705","46,000","49,000",Quebec
13101 Property administrators,"6,395","43,200","49,560",Quebec
13102 Payroll administrators,"6,525","51,600","51,700",Quebec
"1311 Office administrative assistants - general, legal and medical","100,840","36,800","36,800",Quebec
13110 Administrative assistants,"88,190","36,400","36,360",Quebec
13111 Legal administrative assistants,"6,675","42,800","43,960",Quebec
13112 Medical administrative assistants,"5,980","36,800","35,320",Quebec
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"14,070","50,000","54,000",Quebec
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"14,070","50,000","54,000",Quebec
"13200 Customs, ship and other brokers","1,035","51,600","64,200",Quebec
13201 Production and transportation logistics coordinators,"13,030","49,600","53,200",Quebec
14 Administrative and financial support and supply chain logistics occupations,"199,635","33,600","35,600",Quebec
"141 Office, court, and data support occupations","76,455","27,600","30,920",Quebec
1410 Office support and court services occupations,"66,325","27,400","30,560",Quebec
14100 General office support workers,"29,955","35,200","34,960",Quebec
14101 Receptionists,"32,100","20,800","23,900",Quebec
14102 Personnel clerks,"3,635","49,200","51,040",Quebec
14103 Court clerks and related court services occupations,640,"37,200","40,200",Quebec
"1411 Survey, statistical and data entry occupations","10,130","28,600","33,520",Quebec
14110 Survey interviewers and statistical clerks,"2,485","22,800","36,120",Quebec
14111 Data entry clerks,"7,425","30,000","32,240",Quebec
14112 Desktop publishing operators and related occupations,225,"46,800","46,400",Quebec
"142 Financial, insurance and related administrative support workers","46,020","38,400","39,960",Quebec
"1420 Financial, insurance and related administrative support workers","46,020","38,400","39,960",Quebec
14200 Accounting and related clerks,"38,890","37,600","38,960",Quebec
"14201 Banking, insurance and other financial clerks","4,150","46,400","49,720",Quebec
14202 Collection clerks,"2,975","39,600","39,640",Quebec
"143 Library, correspondence and other clerks","6,970","36,800","38,000",Quebec
"1430 Library, correspondence and other clerks","6,970","36,800","38,000",Quebec
14300 Library assistants and clerks,"2,605","26,400","28,280",Quebec
"14301 Correspondence, publication and regulatory clerks","4,370","44,000","43,800",Quebec
"144 Supply chain logistics, tracking and scheduling coordination occupations","70,185","35,200","37,640",Quebec
