"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Alberta i10",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"33102 Nurse aides, orderlies and patient service associates","34,920","40,800","40,280"
"33103 Pharmacy technical assistants and pharmacy assistants","3,430","31,600","31,840"
"33109 Other assisting occupations in support of health services","4,715","32,800","36,480"
"4 Occupations in education, law and social, community and government services","240,920","59,200","66,700"
"40 Managers in public administration, in education and social and community services and in public protection services","15,070","103,000","96,900"
"400 Managers in public administration, in education and social and community services and in public protection services","15,070","103,000","96,900"
"4001 Managers in public administration","2,555","108,000","117,700"
"40010 Government managers - health and social policy development and program administration","835","104,000","101,400"
"40011 Government managers - economic analysis, policy development and program administration","965","119,000","143,200"
"40012 Government managers - education policy development and program administration","190","101,000","101,000"
"40019 Other managers in public administration","570","106,000","104,400"
"4002 Managers in education","6,640","115,000","107,300"
"40020 Administrators - post-secondary education and vocational training","2,190","86,000","89,500"
"40021 School principals and administrators of elementary and secondary education","4,455","120,000","116,100"
"4003 Managers in social, community and correctional services","4,060","60,800","66,800"
"40030 Managers in social, community and correctional services","4,060","60,800","66,800"
"4004 Managers in public protection services","1,815","98,000","97,100"
"40040 Commissioned police officers and related occupations in public protection services","110","135,000","142,000"
"40041 Fire chiefs and senior firefighting officers","315","127,000","127,000"
"40042 Commissioned officers of the Canadian Armed Forces","1,385","89,000","86,800"
"41 Professional occupations in law, education, social, community and government services","124,180","75,000","79,900"
"411 Professional occupations in law","10,180","131,000","176,600"
"4110 Judges, lawyers and Quebec notaries","10,180","131,000","176,600"
"41100 Judges","295","294,000","280,000"
"41101 Lawyers and Quebec notaries","9,885","128,000","173,600"
"412 Professional occupations in education services","72,030","75,000","69,100"
"4120 University professors and post-secondary assistants","17,425","44,000","62,150"
"41200 University professors and lecturers","7,675","105,000","102,400"
"41201 Post-secondary teaching and research assistants","9,755","14,600","30,480"
"4121 College and other vocational instructors","8,310","76,000","73,200"
"41210 College and other vocational instructors","8,310","76,000","73,200"
"4122 Secondary, elementary and kindergarten school teachers","46,300","81,000","70,900"
"41220 Secondary school teachers","13,405","88,000","75,900"
"41221 Elementary school and kindergarten teachers","32,890","78,000","68,900"
"413 Professional occupations in social and community services","18,780","63,600","63,350"
"4130 Social and community service professionals","14,060","63,200","62,250"
"41300 Social workers","7,000","71,500","68,700"
"41301 Therapists in counselling and related specialized therapies","3,140","56,400","56,850"
"41302 Religious leaders","3,925","52,800","54,950"
"4131 Police investigators and probation officers","1,040","88,000","92,000"
"41310 Police investigators and other investigative occupations","395","127,000","111,600"
"41311 Probation and parole officers","645","84,000","80,000"
"4132 Educational and employment counsellors","3,675","58,800","59,600"
"41320 Educational counsellors","2,605","61,600","61,150"
"41321 Career development practitioners and career counsellors (except education)","1,065","54,800","55,900"
"414 Professional occupations in government services","23,190","76,500","84,400"
"4140 Policy and program researchers, consultants and officers","23,190","76,500","84,400"
"41400 Natural and applied science policy researchers, consultants and program officers","4,945","87,000","95,500"
"41401 Economists and economic policy researchers and analysts","1,940","95,000","108,100"
"41402 Business development officers and market researchers and analysts","4,940","84,000","103,300"
"41403 Social policy researchers, consultants and program officers","3,310","69,000","67,100"
"41404 Health policy researchers, consultants and program officers","2,940","71,500","71,400"
"41405 Education policy researchers, consultants and program officers","2,640","68,000","67,300"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","1,080","53,200","56,100"
"41407 Program officers unique to government","855","74,500","73,200"
"41409 Other professional occupations in social science","550","60,000","59,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","57,060","44,800","55,700"
"421 Occupations in front-line public protection services","14,475","112,000","106,600"
"4210 Occupations in front-line public protection services","14,475","112,000","106,600"
"42100 Police officers (except commissioned)","9,495","108,000","104,800"
"42101 Firefighters","4,820","117,000","111,300"
"42102 Specialized members of the Canadian Armed Forces","160","74,000","69,000"
"422 Paraprofessional occupations in legal, social, community and education services","42,590","32,400","38,400"
"4220 Paraprofessional occupations in legal, social, community and education services","42,590","32,400","38,400"
"42200 Paralegals and related occupations","2,695","62,800","60,250"
"42201 Social and community service workers","21,165","44,800","47,320"
"42202 Early childhood educators and assistants","17,245","20,200","24,060"
"42203 Instructors of persons with disabilities","605","38,400","43,400"
"42204 Religion workers","880","25,800","35,600"
"43 Assisting occupations in education and in legal and public protection","28,430","31,800","41,320"
"431 Assisting occupations in educational","19,305","23,600","25,420"
"4310 Assisting occupations in education","19,305","23,600","25,420"
"43100 Elementary and secondary school teacher assistants","15,930","25,200","26,440"
"43109 Other instructors","3,375","8,900","20,680"
"432 Assisting occupations in legal and public protection","9,120","77,500","75,000"
"4320 Assisting occupations in legal and public protection","9,120","77,500","75,000"
"43200 Sheriffs and bailiffs","605","79,000","74,800"
"43201 Correctional service officers","2,645","84,000","78,500"
"43202 By-law enforcement and other regulatory officers","860","73,500","71,400"
"43203 Border services, customs, and immigration officers","570","85,000","75,200"
"43204 Operations members of the Canadian Armed Forces","4,445","75,000","73,700"
"44 Care providers and legal and public protection support occupations","14,105","15,600","23,100"
"441 Home care provider occupations","13,075","14,200","20,700"
"4410 Home care provider occupations","13,075","14,200","20,700"
"44100 Home child care providers","9,250","11,600","16,860"
"44101 Home support workers, caregivers and related occupations","3,820","26,000","30,040"
"442 Primary combat members of the Canadian Armed Forces","1,030","56,000","53,600"
"4420 Primary combat members of the Canadian Armed Forces","1,030","56,000","53,600"
"44200 Primary combat members of the Canadian Armed Forces","1,030","56,000","53,600"
"45 Student monitors, crossing guards and related occupations","2,075","5,200","8,470"
"451 Student monitors, crossing guards and related occupations","2,075","5,200","8,470"
"4510 Student monitors, crossing guards and related occupations","2,075","5,200","8,470"
"45100 Student monitors, crossing guards and related occupations","2,075","5,200","8,470"
"5 Occupations in art, culture, recreation and sport","47,890","21,200","35,320"
"50 Specialized middle management occupations in art, culture, recreation and sport","2,880","57,600","68,200"
"500 Specialized middle management occupations in art, culture, recreation and sport","2,880","57,600","68,200"
"5001 Managers in art, culture, recreation and sport","2,880","57,600","68,200"
"50010 Library, archive, museum and art gallery managers","610","54,400","63,600"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","585","50,400","82,000"
"50012 Recreation, sports and fitness program and service directors","1,685","60,000","65,100"
"51 Professional occupations in art and culture","10,500","25,200","37,600"
"511 Professional occupations in art and culture","10,500","25,200","37,600"
"5110 Librarians, archivists, conservators and curators","1,205","58,400","59,700"
"51100 Librarians","940","59,600","61,500"
"51101 Conservators and curators","165","58,800","55,200"
"51102 Archivists","100","44,400","51,000"
"5111 Writing, translating and related communications professionals","4,610","35,200","42,040"
"51110 Editors","840","31,600","38,200"
"51111 Authors and writers (except technical)","1,630","17,600","32,880"
"51112 Technical writers","810","62,800","63,000"
"51113 Journalists","735","49,600","53,200"
"51114 Translators, terminologists and interpreters","600","18,800","30,500"
"5112 Creative and performing artists","4,685","13,400","27,560"
"51120 Producers, directors, choreographers and related occupations","1,530","44,000","49,240"
"51121 Conductors, composers and arrangers","195","23,400","27,400"
"51122 Musicians and singers","2,955","8,500","16,340"
"52 Technical occupations in art, culture and sport","13,370","38,800","45,760"
"521 Technical occupations in art and culture","13,370","38,800","45,760"
"5210 Technical occupations in libraries and public archives","1,310","33,200","36,400"
"52100 Library and public archive technicians","1,310","33,200","36,400"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","4,305","50,400","58,150"
"52110 Film and video camera operators","450","27,000","33,400"
"52111 Graphic arts technicians","315","46,000","60,400"
"52112 Broadcast technicians","215","74,500","82,000"
"52113 Audio and video recording technicians","1,065","19,600","35,300"
"52114 Announcers and other broadcasters","535","52,800","70,000"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","1,720","64,000","71,800"
"5212 Graphic and interior designers","7,755","35,200","40,440"
"52120 Graphic designers and illustrators","5,335","38,000","41,280"
"52121 Interior designers and interior decorators","2,420","28,800","38,560"
"53 Occupations in art, culture and sport","10,400","12,300","27,560"
"531 Occupations in art and culture","8,170","10,500","21,340"
"5310 Occupations related to museums and art galleries","700","16,600","26,800"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","700","16,600","26,800"
"5311 Photographers and support occupations in arts and culture","2,330","12,300","25,420"
"53110 Photographers","1,895","10,200","23,840"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","440","24,600","32,200"
"5312 Occupations in creative and performing art","5,130","9,100","18,720"
"53120 Dancers","1,135","8,900","17,040"
"53121 Actors, comedians and circus performers","675","5,880","14,320"
"53122 Painters, sculptors and other visual artists","1,260","6,800","17,240"
"53123 Theatre, fashion, exhibit and other creative designers","560","12,800","27,100"
"53124 Artisans and craftspersons","1,480","12,200","19,920"
"53125 Patternmakers - textile, leather and fur products","20","0","36,000"
"532 Occupations in sports","2,230","25,600","50,320"
"5320 Athletes, coaches, referees and related occupations","2,230","25,600","50,320"
"53200 Athletes","380","18,200","102,800"
"53201 Coaches","1,710","29,600","41,320"
"53202 Sports officials and referees","145","3,480","19,600"
"54 Support occupations in sport","10,365","9,600","18,420"
"541 Support occupations in sport","10,365","9,600","18,420"
"5410 Program leaders and instructors in recreation, sport and fitness","10,365","9,600","18,420"
"54100 Program leaders and instructors in recreation, sport and fitness","10,365","9,600","18,420"
"55 Support occupations in art and culture","380","10,500","27,300"
"551 Support occupations in art and culture","380","10,500","27,300"
"5510 Support occupations in art and culture","380","10,500","27,300"
"55109 Other performers","380","10,500","27,300"
"6 Sales and service occupations","511,190","24,600","36,720"
"60 Middle management occupations in retail and wholesale trade and customer services","75,715","55,600","70,000"
"600 Middle management occupations in retail and wholesale trade and customer services","75,715","55,600","70,000"
