"","noc_code","employment","median.income","mean.income","remote_work"
"408","83101",6875,64500,74000,0
"409","83110",6985,57200,58800,0
"410","83120",1085,55200,72200,0
"411","83121",11115,22400,31960,0
"412","84100",4195,80000,80700,0
"413","84101",5620,75500,80900,0
"414","84110",6885,31400,38200,0
"415","84111",7630,26600,33480,0
"416","84120",41810,23600,29000,0.0303561791385591
"417","84121",9405,20600,29520,0
"418","85100",26820,18000,24660,0.0303561791385591
"419","85101",12450,12500,17520,0
"420","85102",2585,23200,31880,0
"421","85103",16345,16800,21720,0
"422","85104",385,9900,23400,0
"423","85110",2765,47600,59800,0
"424","85111",6830,45200,51550,0
"425","85121",109675,15900,22380,0
"426","90010",70875,81000,97400,0.5
"427","90011",11295,125000,143000,0
"428","92010",5560,81000,86500,0
"429","92011",12070,98000,111000,0
"430","92012",15370,58000,59300,0
"431","92013",3515,60800,63050,0
"432","92014",5640,76500,76500,0
"433","92015",1105,43600,45000,0
"434","92020",8365,72500,77400,0
"435","92021",2205,57200,61000,0
"436","92022",1615,52800,53450,0
"437","92023",2865,72500,73700,0
"438","92024",3025,57600,61350,0
"439","92100",34540,86000,100200,0
"440","92101",13360,69500,68000,0
"441","93100",2430,98000,93700,0
"442","93101",22100,103000,113700,0
"443","93102",745,90000,87800,0
"444","93200",5635,64500,62150,0
"445","94100",8395,80000,79400,0
"446","94101",2420,52000,57500,0
"447","94102",2200,37600,38440,0
"448","94103",3660,43200,47440,0
"449","94104",2270,53600,56700,0
"450","94105",11380,44000,45000,0
"451","94106",8665,46800,48720,0
"452","94107",2815,46000,47560,0
"453","94110",7390,51600,59950,0
"454","94111",13485,40400,43160,0
"455","94112",5215,50800,50000,0
"456","94120",6225,47600,49160,0
"457","94121",5025,82000,81400,0
"458","94122",3565,54800,53700,0
"459","94123",2540,52400,53600,0
"460","94124",6585,35600,37200,0
"461","94129",2145,54800,55550,0
"462","94130",2720,31800,32400,0
"463","94131",2095,29800,31920,0
"464","94132",13495,22400,24220,0
"465","94133",1620,27000,28720,0
"466","94140",48305,45200,47360,0
"467","94141",15860,43600,41600,0
"468","94142",7370,15300,20580,0
"469","94143",7695,37200,40120,0
"470","94150",6815,37600,37440,1
"471","94151",2035,47600,49040,1
"472","94152",3590,32800,33960,0
"473","94153",1280,24600,28960,0
"474","94200",68960,43600,46320,0
"475","94201",13050,35200,36560,0
"476","94202",7220,36400,38320,0
"477","94203",2440,44000,46720,0
"478","94204",10445,44400,46040,0
"479","94205",870,40400,43700,0
"480","94210",16770,32400,32400,0
"481","94212",4990,36800,36640,0
"482","94213",15050,44800,47560,0
"483","94219",19790,32800,35440,0
"484","95100",9420,42800,47080,0
"485","95101",13225,34800,37240,0
"486","95102",19680,29400,34360,0
"487","95103",17675,38000,41640,0
"488","95104",9035,33600,35720,0
"489","95105",5735,23400,26440,0
"490","95106",82620,30600,31760,0
"491","95107",8710,14900,18640,0
"492","95109",85125,27600,30040,0
