"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"167","33100 Dental assistants and dental laboratory assistants",36555,30600,31400,"Canada","33100",5
"168","33101 Medical laboratory assistants and related technical occupations",20025,44800,43920,"Canada","33101",5
"169","33102 Nurse aides, orderlies and patient service associates",337655,36000,36520,"Canada","33102",5
"170","33103 Pharmacy technical assistants and pharmacy assistants",30980,28800,29240,"Canada","33103",5
"171","33109 Other assisting occupations in support of health services",35540,30200,35280,"Canada","33109",5
"172","40010 Government managers - health and social policy development and program administration",8015,105000,106200,"Canada","40010",5
"173","40011 Government managers - economic analysis, policy development and program administration",11845,108000,115400,"Canada","40011",5
"174","40012 Government managers - education policy development and program administration",1965,97000,98200,"Canada","40012",5
"175","40019 Other managers in public administration",5010,101000,99900,"Canada","40019",5
"176","40020 Administrators - post-secondary education and vocational training",17785,88000,92800,"Canada","40020",5
"177","40021 School principals and administrators of elementary and secondary education",31570,114000,108100,"Canada","40021",5
"178","40030 Managers in social, community and correctional services",34225,64000,69400,"Canada","40030",5
"179","40040 Commissioned police officers and related occupations in public protection services",2170,130000,131000,"Canada","40040",5
"180","40041 Fire chiefs and senior firefighting officers",2690,116000,113500,"Canada","40041",5
"181","40042 Commissioned officers of the Canadian Armed Forces",18410,88000,84000,"Canada","40042",5
"182","41100 Judges",3240,278000,260000,"Canada","41100",5
"183","41101 Lawyers and Quebec notaries",96330,105000,147800,"Canada","41101",5
"184","41200 University professors and lecturers",74610,109000,109000,"Canada","41200",5
"185","41201 Post-secondary teaching and research assistants",100070,13600,27920,"Canada","41201",5
"186","41210 College and other vocational instructors",100410,67500,64900,"Canada","41210",5
"187","41220 Secondary school teachers",153335,82000,72000,"Canada","41220",5
"188","41221 Elementary school and kindergarten teachers",295900,73000,65500,"Canada","41221",5
"189","41300 Social workers",66005,67500,64500,"Canada","41300",5
"190","41301 Therapists in counselling and related specialized therapies",34175,50000,50920,"Canada","41301",5
"191","41302 Religious leaders",27810,48800,49760,"Canada","41302",5
"192","41310 Police investigators and other investigative occupations",3610,119000,111600,"Canada","41310",5
"193","41311 Probation and parole officers",5280,80000,74600,"Canada","41311",5
"194","41320 Educational counsellors",26965,62400,60600,"Canada","41320",5
"195","41321 Career development practitioners and career counsellors (except education)",11585,49600,50440,"Canada","41321",5
"196","41400 Natural and applied science policy researchers, consultants and program officers",35545,78500,82500,"Canada","41400",5
"197","41401 Economists and economic policy researchers and analysts",22635,89000,107600,"Canada","41401",5
"198","41402 Business development officers and market researchers and analysts",41410,68000,81900,"Canada","41402",5
"199","41403 Social policy researchers, consultants and program officers",42115,68500,68000,"Canada","41403",5
"200","41404 Health policy researchers, consultants and program officers",27115,70000,70900,"Canada","41404",5
"201","41405 Education policy researchers, consultants and program officers",26390,65000,63150,"Canada","41405",5
"202","41406 Recreation, sports and fitness policy researchers, consultants and program officers",10160,48400,50240,"Canada","41406",5
