"occupation","employment","median.income","mean.income","geography"
"2222 Technical occupations in computer and information systems",137640,60400,62300,"Canada"
"22220 Computer network and web technicians",66285,66500,67600,"Canada"
"22221 User support technicians",61155,54400,57500,"Canada"
"22222 Information systems testing technicians",10200,51200,56600,"Canada"
"2223 Technical inspectors and regulatory officers",49080,71000,73600,"Canada"
"22230 Non-destructive testers and inspectors",6635,74500,79900,"Canada"
"22231 Engineering inspectors and regulatory officers",7195,82000,85900,"Canada"
"22232 Occupational health and safety specialists",19625,70500,72400,"Canada"
"22233 Construction inspectors",15620,65500,66800,"Canada"
"223 Technical occupations related to engineering",205885,62000,66100,"Canada"
"2230 Technical occupations in civil, mechanical and industrial engineering",96835,65000,68700,"Canada"
"22300 Civil engineering technologists and technicians",22425,62400,63500,"Canada"
"22301 Mechanical engineering technologists and technicians",31250,70000,73500,"Canada"
"22302 Industrial engineering and manufacturing technologists and technicians",16900,59200,62750,"Canada"
"22303 Construction estimators",26260,65500,71300,"Canada"
"2231 Technical occupations in electronics and electrical engineering",109045,59200,63750,"Canada"
"22310 Electrical and electronics engineering technologists and technicians",44475,67500,70700,"Canada"
"22311 Electronic service technicians (household and business equipment)",49920,48400,50000,"Canada"
"22312 Industrial instrument technicians and mechanics",9080,92000,98000,"Canada"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",5570,76000,75500,"Canada"
"3 Health occupations",1463265,52000,62650,"Canada"
"30 Specialized middle management occupations in health care",37340,95000,97200,"Canada"
"300 Specialized middle management occupations in health care",37340,95000,97200,"Canada"
"3001 Managers in health care",37340,95000,97200,"Canada"
"30010 Managers in health care",37340,95000,97200,"Canada"
"31 Professional occupations in health",635905,79000,86600,"Canada"
"311 Health treating and consultation services professionals",199280,94000,119400,"Canada"
"3110 Physicians and veterinarians",107780,120000,148400,"Canada"
"31100 Specialists in clinical and laboratory medicine",32985,146000,172400,"Canada"
"31101 Specialists in surgery",9610,149000,182400,"Canada"
"31102 General practitioners and family physicians",54325,118000,139400,"Canada"
"31103 Veterinarians",10865,85000,90200,"Canada"
"3111 Dentists, optometrists and audiologists",38400,77500,87300,"Canada"
"31110 Dentists",19905,87000,101400,"Canada"
"31111 Optometrists",6055,79500,84300,"Canada"
"31112 Audiologists and speech-language pathologists",12445,70000,66300,"Canada"
"3112 Pharmacists and dietitians",53095,86000,83900,"Canada"
"31120 Pharmacists",41945,96000,90600,"Canada"
"31121 Dietitians and nutritionists",11150,62800,58400,"Canada"
"312 Therapy and assessment professionals",88465,60800,61950,"Canada"
"3120 Therapy and assessment professionals",88465,60800,61950,"Canada"
"31200 Psychologists",18900,77000,77200,"Canada"
"31201 Chiropractors",8305,48800,58550,"Canada"
"31202 Physiotherapists",26185,64000,61900,"Canada"
"31203 Occupational therapists",17615,72500,67500,"Canada"
"31204 Kinesiologists and other professional occupations in therapy and assessment",10660,36400,40120,"Canada"
"31209 Other professional occupations in health diagnosing and treating",6805,31000,43560,"Canada"
"313 Nursing and allied health professionals",348155,77500,74000,"Canada"
"3130 Nursing and allied health professionals",348155,77500,74000,"Canada"
"31300 Nursing coordinators and supervisors",14520,84000,80700,"Canada"
"31301 Registered nurses and registered psychiatric nurses",324220,76500,73200,"Canada"
"31302 Nurse practitioners",6505,109000,101000,"Canada"
"31303 Physician assistants, midwives and allied health professionals",2910,72000,66700,"Canada"
"32 Technical occupations in health",329275,48000,49960,"Canada"
"321 Technical occupations in health (except practitioners of natural healing)",282510,53200,54400,"Canada"
"3210 Technical occupations in therapy and assessment",165710,53600,54850,"Canada"
"32100 Opticians",9555,42000,44360,"Canada"
"32101 Licensed practical nurses",73385,55600,52600,"Canada"
"32102 Paramedical occupations",30340,81000,78900,"Canada"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13265,77500,75100,"Canada"
"32104 Animal health technologists and veterinary technicians",21220,32800,33480,"Canada"
"32109 Other technical occupations in therapy and assessment",17945,38000,39280,"Canada"
"3211 Technical occupations in dental health care",35240,42800,44720,"Canada"
"32110 Denturists",2365,38000,51900,"Canada"
"32111 Dental hygienists and dental therapists",27930,44400,44960,"Canada"
"32112 Dental technologists and technicians",4945,36000,39880,"Canada"
"3212 Medical technologists and technicians",81560,58400,57700,"Canada"
"32120 Medical laboratory technologists",20180,72000,68600,"Canada"
"32121 Medical radiation technologists",20035,71500,68600,"Canada"
"32122 Medical sonographers",6650,70000,65300,"Canada"
"32123 Cardiology technologists and electrophysiological diagnostic technologists",3135,56400,55350,"Canada"
"32124 Pharmacy technicians",26560,39600,41000,"Canada"
"32129 Other medical technologists and technicians",5005,48400,50240,"Canada"
"322 Practitioners of natural healing",46770,17600,23100,"Canada"
"3220 Practitioners of natural healing",46770,17600,23100,"Canada"
"32200 Traditional Chinese medicine practitioners and acupuncturists",4295,17000,24760,"Canada"
"32201 Massage therapists",37720,18800,23600,"Canada"
"32209 Other practitioners of natural healing",4750,8200,17700,"Canada"
"33 Assisting occupations in support of health services",460750,34800,35840,"Canada"
"331 Assisting occupations in support of health services",460750,34800,35840,"Canada"
"3310 Assisting occupations in support of health services",460750,34800,35840,"Canada"
"33100 Dental assistants and dental laboratory assistants",36555,30600,31400,"Canada"
"33101 Medical laboratory assistants and related technical occupations",20025,44800,43920,"Canada"
"33102 Nurse aides, orderlies and patient service associates",337655,36000,36520,"Canada"
"33103 Pharmacy technical assistants and pharmacy assistants",30980,28800,29240,"Canada"
"33109 Other assisting occupations in support of health services",35540,30200,35280,"Canada"
"4 Occupations in education, law and social, community and government services",2302980,54400,62600,"Canada"
"40 Managers in public administration, in education and social and community services and in public protection services",133680,95000,93400,"Canada"
"400 Managers in public administration, in education and social and community services and in public protection services",133680,95000,93400,"Canada"
"4001 Managers in public administration",26840,105000,108500,"Canada"
"40010 Government managers - health and social policy development and program administration",8015,105000,106200,"Canada"
"40011 Government managers - economic analysis, policy development and program administration",11845,108000,115400,"Canada"
"40012 Government managers - education policy development and program administration",1965,97000,98200,"Canada"
"40019 Other managers in public administration",5010,101000,99900,"Canada"
"4002 Managers in education",49355,108000,102600,"Canada"
"40020 Administrators - post-secondary education and vocational training",17785,88000,92800,"Canada"
"40021 School principals and administrators of elementary and secondary education",31570,114000,108100,"Canada"
"4003 Managers in social, community and correctional services",34225,64000,69400,"Canada"
"40030 Managers in social, community and correctional services",34225,64000,69400,"Canada"
"4004 Managers in public protection services",23265,95000,91800,"Canada"
"40040 Commissioned police officers and related occupations in public protection services",2170,130000,131000,"Canada"
"40041 Fire chiefs and senior firefighting officers",2690,116000,113500,"Canada"
"40042 Commissioned officers of the Canadian Armed Forces",18410,88000,84000,"Canada"
"41 Professional occupations in law, education, social, community and government services",1224880,69500,73900,"Canada"
"411 Professional occupations in law",99570,108000,151400,"Canada"
"4110 Judges, lawyers and Quebec notaries",99570,108000,151400,"Canada"
"41100 Judges",3240,278000,260000,"Canada"
"41101 Lawyers and Quebec notaries",96330,105000,147800,"Canada"
"412 Professional occupations in education services",724325,69500,66100,"Canada"
