"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Manitoba i8",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"62202 Jewellers, jewellery and watch repairers and related occupations","50","16,000","24,000"
"63 Occupations in sales and services","19,470","21,200","33,040"
"631 Occupations in sales","6,265","50,000","62,250"
"6310 Insurance, real estate and financial sales occupations","6,265","50,000","62,250"
"63100 Insurance agents and brokers","2,900","49,200","57,800"
"63101 Real estate agents and salespersons","1,650","48,000","69,600"
"63102 Financial sales representatives","1,710","53,600","62,700"
"632 Occupations in services","13,205","15,300","19,160"
"6320 Cooks, butchers and bakers","8,505","15,800","19,920"
"63200 Cooks","6,770","14,300","18,280"
"63201 Butchers - retail and wholesale","235","32,000","30,200"
"63202 Bakers","1,505","22,400","25,640"
"6321 Hairstylists and estheticians","4,440","13,800","17,180"
"63210 Hairstylists and barbers","2,840","15,000","17,660"
"63211 Estheticians, electrologists and related occupations","1,600","11,900","16,340"
"6322 Shoe repairers, shoemakers and upholsterers","260","30,400","28,600"
"63220 Shoe repairers and shoemakers","45","8,500","12,000"
"63221 Upholsterers","215","33,200","32,000"
"64 Sales and service representatives and other customer and personal services occupations","44,110","23,400","30,480"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","22,730","20,400","31,120"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","22,730","20,400","31,120"
"64100 Retail salespersons and visual merchandisers","20,580","18,200","28,040"
"64101 Sales and account representatives - wholesale trade (non-technical)","2,150","55,200","60,900"
"642 Occupations in personal service","380","20,000","22,500"
"6420 Occupations in personal service","380","20,000","22,500"
"64200 Tailors, dressmakers, furriers and milliners","340","21,000","23,000"
"64201 Image, social and other personal consultants","40","12,100","18,500"
"643 Occupations in food, accommodation and tourism","3,645","12,800","19,740"
"6430 Occupations in food and beverage service","1,625","7,500","10,550"
"64300 Maîtres d'hôtel and hosts/hostesses","540","4,640","6,800"
"64301 Bartenders","1,090","10,000","12,400"
"6431 Occupations in travel and accommodation","1,625","24,800","29,640"
"64310 Travel counsellors","395","28,600","27,400"
"64311 Pursers and flight attendants","185","40,000","38,400"
"64312 Airline ticket and service agents","320","34,800","42,000"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","65","44,400","48,000"
"64314 Hotel front desk clerks","655","17,800","20,520"
"6432 Tourism and amusement services occupations","395","13,700","16,900"
"64320 Tour and travel guides","40","4,200","22,000"
"64321 Casino workers","285","13,800","16,600"
"64322 Outdoor sport and recreational guides","70","10,000","15,200"
"644 Occupations in customer, information and protective services","17,355","28,600","32,000"
"6440 Customer and information services representatives","12,975","29,400","32,160"
"64400 Customer services representatives - financial institutions","2,080","33,600","32,480"
"64401 Postal services representatives","325","29,800","36,000"
"64409 Other customer and information services representatives","10,570","28,000","31,960"
"6441 Security guards and related security service occupations","4,380","27,200","31,640"
"64410 Security guards and related security service occupations","4,380","27,200","31,640"
"65 Sales and service support occupations","58,800","13,300","18,660"
"651 Sales support occupations","20,630","13,400","18,480"
"6510 Cashiers and other sales support occupations","20,630","13,400","18,480"
"65100 Cashiers","11,040","11,000","16,340"
"65101 Service station attendants","1,070","10,600","14,160"
"65102 Store shelf stockers, clerks and order fillers","7,435","20,000","22,480"
"65109 Other sales related occupations","1,080","9,700","17,160"
"652 Support occupations in food, accommodation and tourism","20,525","9,800","14,700"
"6520 Food support occupations","18,450","9,700","14,120"
"65200 Food and beverage servers","4,665","8,100","10,460"
"65201 Food counter attendants, kitchen helpers and related support occupations","13,405","10,400","14,800"
"65202 Meat cutters and fishmongers - retail and wholesale","375","32,400","35,000"
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,205","8,100","17,280"
"65210 Support occupations in accommodation, travel and facilities set-up services","145","30,600","30,000"
"65211 Operators and attendants in amusement, recreation and sport","1,060","7,500","15,560"
"6522 Support occupations in personal services","865","18,400","23,320"
"65220 Pet groomers and animal care workers","815","18,400","23,000"
"65229 Other support occupations in personal services","55","13,100","28,000"
"653 Support occupations in cleaning and related services","17,645","19,600","23,500"
"6531 Cleaners","15,970","19,600","23,700"
"65310 Light duty cleaners","9,320","17,000","20,800"
"65311 Specialized cleaners","1,930","19,000","23,260"
"65312 Janitors, caretakers and heavy-duty cleaners","4,720","27,000","29,560"
"6532 Service support and related occupations","1,675","18,400","21,760"
"65320 Dry cleaning, laundry and related occupations","745","27,200","27,750"
"65329 Other service support occupations","925","12,700","16,960"
"7 Trades, transport and equipment operators and related occupations","119,875","44,400","49,680"
"70 Middle management occupations in trades and transportation","8,840","64,500","72,600"
"700 Middle management occupations in trades and transportation","8,840","64,500","72,600"
"7001 Managers in construction and facility operation and maintenance","6,970","60,000","69,100"
"70010 Construction managers","2,740","76,500","85,700"
"70011 Home building and renovation managers","1,530","27,200","39,320"
"70012 Facility operation and maintenance managers","2,705","62,400","69,100"
"7002 Managers in transportation and postal and courier services","1,865","77,000","85,900"
"70020 Managers in transportation","1,680","78,000","88,800"
"70021 Postal and courier services managers","190","52,800","60,400"
"72 Technical trades and transportation officers and controllers","47,175","54,800","59,050"
"720 Technical trades contractors and supervisors","7,745","65,000","69,800"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","3,985","61,600","65,300"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","490","70,500","74,400"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","850","78,000","85,200"
"72012 Contractors and supervisors, pipefitting trades","270","64,000","78,000"
"72013 Contractors and supervisors, carpentry trades","540","50,400","53,400"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","1,835","52,800","55,450"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","3,755","69,500","74,600"
"72020 Contractors and supervisors, mechanic trades","890","75,000","81,600"
"72021 Contractors and supervisors, heavy equipment operator crews","1,710","77,500","84,100"
"72022 Supervisors, printing and related occupations","100","50,800","56,000"
"72023 Supervisors, railway transport operations","80","89,000","84,000"
"72024 Supervisors, motor transport and other ground transit operators","580","51,600","55,200"
"72025 Supervisors, mail and message distribution occupations","395","52,000","49,200"
"721 Technical industrial trades","6,365","50,400","52,500"
"7210 Machining, metal forming, shaping and erecting trades","6,365","50,400","52,500"
"72100 Machinists and machining and tooling inspectors","970","54,400","57,300"
"72101 Tool and die makers","180","52,400","53,600"
"72102 Sheet metal workers","690","53,200","52,400"
"72103 Boilermakers","95","68,000","59,000"
"72104 Structural metal and platework fabricators and fitters","165","45,600","44,800"
"72105 Ironworkers","350","68,000","69,200"
"72106 Welders and related machine operators","3,905","48,000","49,880"
"722 Technical electrical trades","6,650","68,500","67,000"
"7220 Technical electrical trades and electrical power line and telecommunications workers","6,650","68,500","67,000"
"72200 Electricians (except industrial and power system)","4,115","58,000","57,950"
"72201 Industrial electricians","730","89,000","89,800"
"72202 Power system electricians","200","95,000","103,000"
"72203 Electrical power line and cable workers","670","94,000","91,200"
"72204 Telecommunications line and cable installers and repairers","420","63,200","57,800"
"72205 Telecommunications equipment installation and cable television service technicians","525","75,000","69,600"
"723 Technical construction trades","9,740","41,200","44,600"
"7230 Plumbers, pipefitters and gas fitters","2,835","54,800","56,550"
"72300 Plumbers","2,155","51,600","52,500"
"72301 Steamfitters, pipefitters and sprinkler system installers","475","75,000","72,800"
"72302 Gas fitters","200","57,200","61,600"
"7231 Carpenters and cabinetmakers","6,340","37,200","39,480"
"72310 Carpenters","5,760","36,800","39,680"
"72311 Cabinetmakers","580","38,400","37,600"
"7232 Bricklayers and insulators","570","38,400","42,200"
"72320 Bricklayers","285","36,000","42,000"
"72321 Insulators","285","38,400","42,800"
"724 Technical maintenance trades","14,825","55,200","58,300"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","6,685","71,000","70,700"
"72400 Construction millwrights and industrial mechanics","1,715","79,000","79,900"
"72401 Heavy-duty equipment mechanics","2,220","69,500","70,300"
"72402 Heating, refrigeration and air conditioning mechanics","1,110","56,800","58,400"
"72403 Railway carmen/women","275","89,000","89,000"
"72404 Aircraft mechanics and aircraft inspectors","1,235","66,500","64,400"
"72405 Machine fitters","40","50,800","44,000"
"72406 Elevator constructors and mechanics","95","100,000","96,000"
"7241 Automotive service technicians","7,615","46,000","48,520"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","6,125","46,800","48,200"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","1,490","44,400","49,840"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","525","41,200","43,200"
"72420 Oil and solid fuel heating mechanics","0","0","0"
"72421 Appliance servicers and repairers","180","35,600","36,800"
"72422 Electrical mechanics","75","49,600","58,000"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","145","46,800","52,000"
"72429 Other small engine and small equipment repairers","120","23,600","32,500"
"725 Technical equipment operation trades","345","67,000","76,000"
"7250 Crane operators and water well drillers","345","67,000","76,000"
"72500 Crane operators","335","67,000","76,800"
"72501 Water well drillers","0","0","0"
"726 Transportation officers and controllers","1,235","90,000","104,600"
"7260 Transportation officers and controllers","1,235","90,000","104,600"
"72600 Air pilots, flight engineers and flying instructors","815","84,000","96,000"
"72601 Air traffic controllers and related occupations","350","119,000","133,500"
"72602 Deck officers, water transport","35","33,200","38,000"
"72603 Engineer officers, water transport","0","0","0"
"72604 Railway traffic controllers and marine traffic regulators","30","0","85,000"
"729 Other technical trades","275","44,400","41,200"
"7299 Other technical trades","275","44,400","41,200"
"72999 Other technical trades and related occupations","275","44,400","41,200"
"73 General trades","36,015","39,200","42,840"
"731 General construction trades","4,885","30,200","33,840"
"7310 Concrete finishers, tilesetters and plasterers","1,690","35,200","38,400"
"73100 Concrete finishers","310","45,200","48,800"
"73101 Tilesetters","165","35,600","33,600"
"73102 Plasterers, drywall installers and finishers and lathers","1,215","32,800","36,300"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","3,190","27,400","31,440"
"73110 Roofers and shinglers","870","28,400","35,000"
"73111 Glaziers","205","35,200","36,800"
"73112 Painters and decorators (except interior decorators)","1,555","26,400","28,920"
"73113 Floor covering installers","555","22,400","31,100"
"732 Building maintenance installers, servicers and repairers","5,965","35,600","37,400"
"7320 Building maintenance installers, servicers and repairers","5,965","35,600","37,400"
"73200 Residential and commercial installers and servicers","1,675","30,600","34,080"
"73201 General building maintenance workers and building superintendents","3,805","38,400","38,360"
"73202 Pest controllers and fumigators","180","38,000","50,800"
"73209 Other repairers and servicers","295","32,000","36,000"
"733 Transportation occupations","20,795","40,000","44,000"
"7330 Transport truck and transit drivers","19,775","38,400","41,600"
"73300 Transport truck drivers","16,205","41,200","43,880"
"73301 Bus drivers, subway operators and other transit operators","3,570","23,800","31,360"
"7331 Train crew operating occupations","1,020","85,000","90,600"
"73310 Railway and yard locomotive engineers","505","128,000","114,000"
"73311 Railway conductors and brakemen/women","510","63,200","67,200"
"734 Operators, drillers and blasters","4,370","52,800","54,700"
"7340 Operators, drillers and blasters","4,370","52,800","54,700"
"73400 Heavy equipment operators","3,430","54,400","55,850"
"73401 Printing press operators","690","45,600","47,900"
"73402 Drillers and blasters - surface mining, quarrying and construction","245","59,200","58,000"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","5,450","43,200","44,440"
"741 Mail and message distribution occupations","3,320","41,600","42,360"
"7410 Mail and message distribution occupations","3,320","41,600","42,360"
"74100 Mail and parcel sorters and related occupations","935","36,400","39,300"
"74101 Letter carriers","965","57,200","53,100"
"74102 Couriers and messengers","1,420","33,200","37,040"
"742 Transport equipment operators, utility maintenance and related workers","2,130","46,000","47,720"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","2,130","46,000","47,720"
"74200 Railway yard and track maintenance workers","500","72,500","70,800"
"74201 Water transport deck and engine room crew","40","43,200","48,000"
"74202 Air transport ramp attendants","320","41,200","39,200"
"74203 Automotive and heavy truck and equipment parts installers and servicers","535","24,400","28,300"
"74204 Utility maintenance workers","340","54,400","55,800"
"74205 Public works maintenance equipment operators and related workers","395","49,600","44,800"
"75 Helpers and labourers and other transport drivers, operators and labourers","22,400","28,800","33,120"
"751 Helpers and labourers","15,195","33,200","36,040"
"7510 Longshore workers and material handlers","6,520","36,800","38,560"
"75100 Longshore workers","15","0","60,000"
"75101 Material handlers","6,510","36,800","38,520"
"7511 Trades helpers and labourers","8,675","29,400","34,160"
"75110 Construction trades helpers and labourers","8,075","29,600","34,440"
"75119 Other trades helpers and labourers","595","24,200","30,200"
"752 Transport drivers, operators and labourers","7,205","21,200","26,920"
"7520 Taxi, personal service and delivery service drivers","5,510","17,600","23,580"
"75200 Taxi and limousine drivers and chauffeurs","1,655","12,400","19,400"
"75201 Delivery service drivers and door-to-door distributors","3,860","21,400","25,360"
"7521 Water and rail transport operators and labourers and related occupations","1,690","35,200","37,800"
"75210 Boat and cable ferry operators and related occupations","35","25,000","28,000"
"75211 Railway and motor transport labourers","280","52,800","49,600"
"75212 Public works and maintenance labourers","1,370","33,600","35,680"
"8 Natural resources, agriculture and related production occupations","27,805","23,800","34,120"
"80 Middle management occupations in production and agriculture","12,665","24,400","33,960"
"800 Middle management occupations in production and agriculture","12,665","24,400","33,960"
"8001 Managers in natural resources production and fishing","220","138,000","148,000"
"80010 Managers in natural resources production and fishing","220","138,000","148,000"
"8002 Managers in agriculture, horticulture and aquaculture","12,450","24,000","32,000"
"80020 Managers in agriculture","12,265","24,000","32,000"
"80021 Managers in horticulture","185","25,400","30,200"
"80022 Managers in aquaculture","0","0","0"
"82 Supervisors in natural resources, agriculture and related production","1,525","54,400","65,600"
"820 Supervisors in natural resources, agriculture and related production","1,525","54,400","65,600"
"8201 Supervisors, logging and forestry","145","62,000","65,000"
"82010 Supervisors, logging and forestry","145","62,000","65,000"
"8202 Contractors and supervisors, mining, oil and gas","465","99,000","104,400"
"82020 Supervisors, mining and quarrying","330","114,000","114,000"
"82021 Contractors and supervisors, oil and gas drilling and services","140","74,500","82,000"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","915","41,200","46,100"
"82030 Agricultural service contractors and farm supervisors","170","44,800","51,600"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","745","40,000","44,900"
"83 Occupations in natural resources and related production","1,180","84,000","74,600"
"831 Occupations in natural resources and fisheries","1,180","84,000","74,600"
"8310 Underground miners, oil and gas drillers and related occupations","865","98,000","92,800"
"83100 Underground production and development miners","640","111,000","105,200"
"83101 Oil and gas well drillers, servicers, testers and related workers","230","60,800","58,000"
"8311 Logging machinery operators","110","50,800","51,000"
"83110 Logging machinery operators","110","50,800","51,000"
"8312 Fishing vessel masters and fishermen/women","200","8,800","10,200"
"83120 Fishing masters and officers","0","0","0"
"83121 Fishermen/women","200","8,800","10,200"
"84 Workers in natural resources, agriculture and related production","4,480","29,800","34,000"
"841 Workers in natural resources and fisheries","4,480","29,800","34,000"
"8410 Mine service workers and operators in oil and gas drilling","235","85,000","82,000"
"84100 Underground mine service and support workers","125","100,000","100,000"
"84101 Oil and gas well drilling and related workers and services operators","110","62,400","61,000"
"8411 Logging and forestry workers","315","20,000","25,000"
"84110 Chain saw and skidder operators","95","20,000","20,800"
"84111 Silviculture and forestry workers","215","20,000","27,000"
"8412 Workers in agriculture and fishing occupations","3,935","29,200","31,800"
"84120 Specialized livestock workers and farm machinery operators","3,895","29,400","31,920"
"84121 Fishing vessel deckhands","30","16,600","22,000"
"85 Harvesting, landscaping and natural resources labourers","7,945","14,400","22,300"
"851 Harvesting, landscaping and natural resources labourers","7,945","14,400","22,300"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","2,930","16,600","22,760"
"85100 Livestock labourers","1,795","21,800","25,580"
"85101 Harvesting labourers","480","15,900","20,400"
"85102 Aquaculture and marine harvest labourers","0","0","0"
"85103 Nursery and greenhouse labourers","625","10,900","16,100"
"85104 Trappers and hunters","25","45,200","34,000"
"8511 Mine and oil and gas drilling, services and related labourers","310","57,600","59,600"
"85110 Mine labourers","145","83,000","75,000"
"85111 Oil and gas drilling, servicing and related labourers","160","43,600","46,000"
"8512 Logging, forestry, landscaping and other related labourers","4,705","12,700","19,580"
"85120 Logging and forestry labourers","105","13,400","18,400"
"85121 Landscaping and grounds maintenance labourers","4,600","12,700","19,600"
"9 Occupations in manufacturing and utilities","33,875","42,400","47,440"
"90 Middle management occupations in manufacturing and utilities","2,820","81,000","92,200"
"900 Middle management occupations in manufacturing and utilities","2,820","81,000","92,200"
"9001 Managers in manufacturing and utilities","2,820","81,000","92,200"
"90010 Manufacturing managers","2,450","79,500","89,600"
"90011 Utilities managers","370","108,000","110,000"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","4,365","64,500","69,300"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","2,120","65,500","69,900"
"9201 Supervisors, processing and manufacturing occupations","1,590","69,000","72,900"
"92010 Supervisors, mineral and metal processing","165","66,000","69,500"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","445","98,000","96,000"
"92012 Supervisors, food and beverage processing","695","65,500","63,200"
"92013 Supervisors, plastic and rubber products manufacturing","110","60,400","64,000"
"92014 Supervisors, forest products processing","120","69,000","69,000"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","50","38,000","38,000"
"9202 Supervisors, assembly and fabrication","535","58,800","61,000"
"92020 Supervisors, motor vehicle assembling","40","48,000","48,000"
"92021 Supervisors, electronics and electrical products manufacturing","60","51,600","52,000"
"92022 Supervisors, furniture and fixtures manufacturing","120","58,800","60,000"
"92023 Supervisors, other mechanical and metal products manufacturing","245","64,500","66,500"
"92024 Supervisors, other products manufacturing and assembly","70","48,800","58,000"
"921 Utilities equipment operators and controllers","2,245","63,200","68,800"
"9210 Utilities equipment operators and controllers","2,245","63,200","68,800"
"92100 Power engineers and power systems operators","1,675","65,000","71,500"
"92101 Water and waste treatment plant operators","570","60,800","60,800"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","925","69,000","69,000"
"931 Central control and process operators in processing and manufacturing","495","75,000","74,800"
"9310 Central control and process operators in processing and manufacturing","495","75,000","74,800"
"93100 Central control and process operators, mineral and metal processing","50","71,000","64,000"
"93101 Central control and process operators, petroleum, gas and chemical processing","450","75,500","76,000"
"93102 Pulping, papermaking and coating control operators","0","0","0"
"932 Aircraft assemblers and aircraft assembly inspectors","425","68,000","62,400"
"9320 Aircraft assemblers and aircraft assembly inspectors","425","68,000","62,400"
"93200 Aircraft assemblers and aircraft assembly inspectors","425","68,000","62,400"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","16,295","39,600","40,160"
"941 Processing and manufacturing machine operators and related production workers","10,100","41,200","41,160"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","1,765","46,800","48,680"
"94100 Machine operators, mineral and metal processing","300","66,500","64,000"
"94101 Foundry workers","145","49,200","46,000"
"94102 Glass forming and finishing machine operators and glass cutters","20","0","38,000"
"94103 Concrete, clay and stone forming operators","90","38,800","37,500"
"94104 Inspectors and testers, mineral and metal processing","70","35,600","42,000"
"94105 Metalworking and forging machine operators","615","44,000","44,200"
"94106 Machining tool operators","425","47,600","49,600"
"94107 Machine operators of other metal products","90","45,600","46,000"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","800","43,200","46,200"
"94110 Chemical plant machine operators","250","45,200","46,000"
"94111 Plastics processing machine operators","465","44,800","48,400"
"94112 Rubber processing machine operators and related workers","85","35,200","35,500"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","670","39,200","41,400"
"94120 Sawmill machine operators","80","35,600","44,000"
"94121 Pulp mill, papermaking and finishing machine operators","50","76,000","66,000"
"94122 Paper converting machine operators","145","46,800","50,000"
"94123 Lumber graders and other wood processing inspectors and graders","30","48,400","52,000"
"94124 Woodworking machine operators","305","31,800","29,000"
"94129 Other wood processing machine operators","50","46,400","54,000"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","1,660","21,600","22,440"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","105","38,800","35,500"
"94131 Weavers, knitters and other fabric making occupations","60","28,600","27,000"
"94132 Industrial sewing machine operators","1,400","21,200","21,280"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","100","23,200","22,800"
"9414 Machine operators and related workers in food, beverage and associated products processing","4,330","45,200","44,520"
"94140 Process control and machine operators, food and beverage processing","1,765","46,000","47,040"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","2,085","46,800","45,040"
"94142 Fish and seafood plant workers","95","12,600","14,800"
"94143 Testers and graders, food and beverage processing","395","38,400","37,400"
"9415 Printing equipment operators and related occupations","875","37,600","39,800"
"94150 Plateless printing equipment operators","405","35,600","37,600"
"94151 Camera, platemaking and other prepress occupations","150","62,400","60,000"
"94152 Binding and finishing machine operators","285","33,600","34,400"
"94153 Photographic and film processors","35","21,800","26,000"
"942 Assemblers and inspectors in manufacturing","6,195","38,000","38,560"
"9420 Mechanical, electrical and electronics assemblers and inspectors","2,955","40,400","40,760"
"94200 Motor vehicle assemblers, inspectors and testers","745","42,400","41,100"
"94201 Electronics assemblers, fabricators, inspectors and testers","340","32,400","30,800"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","185","36,400","35,600"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","220","44,400","46,800"
"94204 Mechanical assemblers and inspectors","1,445","43,600","42,360"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","30","0","56,000"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","3,245","36,400","36,520"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","1,030","36,400","34,800"
"94211 Assemblers and inspectors of other wood products","375","33,200","32,000"
"94212 Plastic products assemblers, finishers and inspectors","210","36,000","35,600"
"94213 Industrial painters, coaters and metal finishing process operators","890","42,800","42,900"
"94219 Other products assemblers, finishers and inspectors","740","33,200","33,900"
"95 Labourers in processing, manufacturing and utilities","9,470","33,600","34,400"
"951 Labourers in processing, manufacturing and utilities","9,470","33,600","34,400"
"9510 Labourers in processing, manufacturing and utilities","9,470","33,600","34,400"
"95100 Labourers in mineral and metal processing","390","42,400","44,800"
"95101 Labourers in metal fabrication","550","38,800","38,400"
"95102 Labourers in chemical products processing and utilities","280","29,400","33,600"
"95103 Labourers in wood, pulp and paper processing","355","33,600","32,200"
"95104 Labourers in rubber and plastic products manufacturing","250","38,400","39,200"
"95105 Labourers in textile processing and cutting","245","28,200","26,600"
"95106 Labourers in food and beverage processing","4,310","35,200","36,040"
"95107 Labourers in fish and seafood processing","80","19,400","22,000"
"95109 Other labourers in processing, manufacturing and utilities","3,000","30,800","30,960"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i8,"Geography name: Manitoba; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Man.; Dissemination Geography Unique Identifier (DGUID): 2021A000246; Alternative geographic code: 46; Province or territory geocode: 46; Long-form total non-response rate: 5.6; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
4,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
5,"Age  Age refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date).  Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).  Gender includes the following concepts:  gender identity, which refers to the gender that a person feels internally and individually;  gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.  Some people may not identify with a specific gender.  Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
6,""Visible minority" refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese.   In 2021 Census analytical and communications products, the term "visible minority" has been replaced by the terms "racialized population" or "racialized groups", reflecting the increased use of these terms in the public sphere."
7,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
9,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
11,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
