"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"212 Professional occupations in applied sciences (except engineering)","6,705","70,000","75,200"
"2120 Architects, urban planners and land surveyors","525","68,500","72,400"
"21200 Architects","120","71,500","71,000"
"21201 Landscape architects","0","0","0"
"21202 Urban and land use planners","290","70,000","74,500"
"21203 Land surveyors","120","48,400","70,000"
"2121 Mathematicians, statisticians, actuaries and data scientists","245","74,500","74,500"
"21210 Mathematicians, statisticians and actuaries","110","74,500","75,000"
"21211 Data scientists","135","75,500","74,000"
"2122 Computer and information systems professionals","2,910","71,000","74,800"
"21220 Cybersecurity specialists","235","77,000","79,500"
"21221 Business systems specialists","610","70,000","72,000"
"21222 Information systems specialists","1,755","71,500","75,100"
"21223 Database analysts and data administrators","315","70,500","75,000"
"2123 Computer, software and Web designers and developers","3,015","68,500","76,100"
"21230 Computer systems developers and programmers","575","73,000","71,600"
"21231 Software engineers and designers","785","76,500","84,800"
"21232 Software developers and programmers","1,070","69,500","86,400"
"21233 Web designers","95","35,600","43,000"
"21234 Web developers and programmers","490","50,000","51,200"
"213 Professional occupations in engineering","3,400","84,000","87,000"
"2130 Civil and mechanical engineers","2,000","81,000","85,800"
"21300 Civil engineers","1,300","82,000","83,100"
"21301 Mechanical engineers","705","79,000","91,000"
"2131 Electrical, electronics and computer engineers","840","89,000","89,400"
"21310 Electrical and electronics engineers","575","89,000","92,000"
"21311 Computer engineers (except software engineers and designers)","260","87,000","84,000"
"2132 Manufacturing and processing engineers","370","89,000","87,600"
"21320 Chemical engineers","225","96,000","98,000"
"21321 Industrial and manufacturing engineers","125","78,000","74,000"
"21322 Metallurgical and materials engineers","25","0","60,000"
