"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Quebec i6",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"21223 Database analysts and data administrators","6,765","65,000","68,300"
"2123 Computer, software and Web designers and developers","61,670","70,000","74,500"
"21230 Computer systems developers and programmers","17,125","68,500","72,800"
"21231 Software engineers and designers","11,455","88,000","94,800"
"21232 Software developers and programmers","17,165","76,500","80,800"
"21233 Web designers","2,150","45,200","46,280"
"21234 Web developers and programmers","13,770","54,800","56,200"
"213 Professional occupations in engineering","53,630","84,000","88,500"
"2130 Civil and mechanical engineers","26,690","78,500","84,300"
"21300 Civil engineers","13,615","79,500","84,700"
"21301 Mechanical engineers","13,075","78,000","83,800"
"2131 Electrical, electronics and computer engineers","14,720","94,000","96,600"
"21310 Electrical and electronics engineers","8,810","92,000","93,700"
"21311 Computer engineers (except software engineers and designers)","5,910","97,000","101,000"
"2132 Manufacturing and processing engineers","6,910","78,000","81,800"
"21320 Chemical engineers","1,800","79,000","84,400"
"21321 Industrial and manufacturing engineers","4,505","77,000","78,800"
"21322 Metallurgical and materials engineers","600","90,000","96,400"
"2133 Natural resources engineers","1,365","90,000","113,300"
"21330 Mining engineers","610","105,000","144,000"
"21331 Geological engineers","675","81,000","89,400"
"21332 Petroleum engineers","80","92,000","80,000"
"2139 Other engineers","3,940","91,000","90,500"
"21390 Aerospace engineers","2,730","97,000","96,700"
