"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Saskatchewan i9",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"63 Occupations in sales and services","16,750","24,800","34,920"
"631 Occupations in sales","5,120","53,200","63,300"
"6310 Insurance, real estate and financial sales occupations","5,120","53,200","63,300"
"63100 Insurance agents and brokers","2,075","53,600","67,100"
"63101 Real estate agents and salespersons","1,275","40,800","58,100"
"63102 Financial sales representatives","1,770","57,200","62,600"
"632 Occupations in services","11,630","18,200","22,400"
"6320 Cooks, butchers and bakers","7,415","20,000","23,660"
"63200 Cooks","6,110","18,800","22,820"
"63201 Butchers - retail and wholesale","140","34,800","38,000"
"63202 Bakers","1,170","24,400","26,450"
"6321 Hairstylists and estheticians","4,115","15,100","20,080"
"63210 Hairstylists and barbers","2,555","15,900","21,180"
"63211 Estheticians, electrologists and related occupations","1,560","13,600","18,300"
"6322 Shoe repairers, shoemakers and upholsterers","95","25,200","24,800"
"63220 Shoe repairers and shoemakers","0","0","0"
"63221 Upholsterers","85","22,200","22,400"
"64 Sales and service representatives and other customer and personal services occupations","32,550","25,000","32,720"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","18,710","22,200","32,840"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","18,710","22,200","32,840"
"64100 Retail salespersons and visual merchandisers","17,350","20,800","30,600"
"64101 Sales and account representatives - wholesale trade (non-technical)","1,360","60,000","61,400"
"642 Occupations in personal service","330","16,800","21,400"
"6420 Occupations in personal service","330","16,800","21,400"
"64200 Tailors, dressmakers, furriers and milliners","290","17,200","20,800"
"64201 Image, social and other personal consultants","40","10,400","26,000"
"643 Occupations in food, accommodation and tourism","2,925","13,100","18,420"
"6430 Occupations in food and beverage service","1,520","9,300","12,050"
"64300 Maîtres d'hôtel and hosts/hostesses","560","4,880","7,480"
"64301 Bartenders","960","12,400","14,720"
"6431 Occupations in travel and accommodation","1,075","20,800","26,300"
"64310 Travel counsellors","250","25,600","30,000"
"64311 Pursers and flight attendants","35","47,200","48,000"
"64312 Airline ticket and service agents","165","47,200","40,000"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","0","0","0"
"64314 Hotel front desk clerks","620","18,600","20,200"
"6432 Tourism and amusement services occupations","325","16,000","22,100"
"64320 Tour and travel guides","45","12,600","13,600"
"64321 Casino workers","200","30,000","26,200"
"64322 Outdoor sport and recreational guides","80","7,450","16,400"
"644 Occupations in customer, information and protective services","10,585","34,000","36,760"
"6440 Customer and information services representatives","7,020","39,200","39,920"
"64400 Customer services representatives - financial institutions","1,900","36,400","35,480"
"64401 Postal services representatives","250","31,000","34,000"
"64409 Other customer and information services representatives","4,875","42,000","41,960"
"6441 Security guards and related security service occupations","3,560","27,400","30,560"
"64410 Security guards and related security service occupations","3,560","27,400","30,560"
"65 Sales and service support occupations","50,035","13,600","19,660"
"651 Sales support occupations","17,590","13,400","19,000"
"6510 Cashiers and other sales support occupations","17,590","13,400","19,000"
"65100 Cashiers","9,455","12,000","17,220"
"65101 Service station attendants","1,380","12,600","15,720"
"65102 Store shelf stockers, clerks and order fillers","6,105","18,000","22,380"
"65109 Other sales related occupations","640","10,100","19,760"
"652 Support occupations in food, accommodation and tourism","17,530","10,500","15,920"
"6520 Food support occupations","15,460","10,800","15,860"
"65200 Food and beverage servers","3,780","9,200","12,420"
"65201 Food counter attendants, kitchen helpers and related support occupations","11,320","11,300","16,220"
"65202 Meat cutters and fishmongers - retail and wholesale","355","44,000","40,400"
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,285","7,450","15,460"
"65210 Support occupations in accommodation, travel and facilities set-up services","55","7,500","12,800"
"65211 Operators and attendants in amusement, recreation and sport","1,230","7,450","15,600"
"6522 Support occupations in personal services","785","11,500","18,120"
"65220 Pet groomers and animal care workers","710","12,300","19,080"
"65229 Other support occupations in personal services","75","6,200","8,800"
"653 Support occupations in cleaning and related services","14,910","20,800","24,840"
"6531 Cleaners","13,525","20,800","24,860"
"65310 Light duty cleaners","7,630","17,200","21,380"
"65311 Specialized cleaners","1,585","21,600","26,280"
"65312 Janitors, caretakers and heavy-duty cleaners","4,305","27,800","30,480"
"6532 Service support and related occupations","1,385","21,400","24,760"
"65320 Dry cleaning, laundry and related occupations","700","29,000","27,700"
"65329 Other service support occupations","685","13,900","21,680"
"7 Trades, transport and equipment operators and related occupations","99,690","50,000","54,900"
"70 Middle management occupations in trades and transportation","6,535","68,000","74,800"
"700 Middle management occupations in trades and transportation","6,535","68,000","74,800"
"7001 Managers in construction and facility operation and maintenance","5,455","66,000","72,600"
"70010 Construction managers","2,195","83,000","86,800"
"70011 Home building and renovation managers","920","20,600","31,100"
"70012 Facility operation and maintenance managers","2,340","68,000","75,600"
"7002 Managers in transportation and postal and courier services","1,080","78,000","86,200"
"70020 Managers in transportation","930","79,500","90,200"
"70021 Postal and courier services managers","145","63,600","60,000"
"72 Technical trades and transportation officers and controllers","41,750","61,600","65,100"
"720 Technical trades contractors and supervisors","6,860","71,000","73,300"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","3,245","67,000","67,300"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","455","82,000","83,200"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","765","71,500","76,600"
"72012 Contractors and supervisors, pipefitting trades","280","71,500","70,500"
"72013 Contractors and supervisors, carpentry trades","520","54,000","55,000"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","1,225","53,200","59,900"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","3,610","75,500","78,600"
"72020 Contractors and supervisors, mechanic trades","880","87,000","88,200"
"72021 Contractors and supervisors, heavy equipment operator crews","1,815","79,500","83,900"
"72022 Supervisors, printing and related occupations","0","0","0"
"72023 Supervisors, railway transport operations","95","97,000","96,000"
"72024 Supervisors, motor transport and other ground transit operators","350","64,000","66,400"
"72025 Supervisors, mail and message distribution occupations","470","49,200","46,800"
"721 Technical industrial trades","6,285","58,000","59,850"
"7210 Machining, metal forming, shaping and erecting trades","6,285","58,000","59,850"
"72100 Machinists and machining and tooling inspectors","840","60,800","63,700"
"72101 Tool and die makers","55","71,000","70,000"
"72102 Sheet metal workers","480","54,000","51,000"
"72103 Boilermakers","140","88,000","88,000"
"72104 Structural metal and platework fabricators and fitters","140","44,800","43,000"
"72105 Ironworkers","390","62,400","66,800"
"72106 Welders and related machine operators","4,245","57,200","58,900"
"722 Technical electrical trades","5,875","74,500","76,300"
"7220 Technical electrical trades and electrical power line and telecommunications workers","5,875","74,500","76,300"
"72200 Electricians (except industrial and power system)","3,050","56,800","57,850"
"72201 Industrial electricians","1,005","112,000","110,600"
"72202 Power system electricians","140","112,000","112,000"
"72203 Electrical power line and cable workers","830","114,000","103,200"
"72204 Telecommunications line and cable installers and repairers","220","83,000","73,500"
"72205 Telecommunications equipment installation and cable television service technicians","625","79,000","68,800"
"723 Technical construction trades","8,545","43,600","46,880"
"7230 Plumbers, pipefitters and gas fitters","2,985","58,400","59,750"
"72300 Plumbers","2,100","54,400","54,400"
"72301 Steamfitters, pipefitters and sprinkler system installers","720","66,500","68,600"
"72302 Gas fitters","165","98,000","88,000"
"7231 Carpenters and cabinetmakers","5,045","36,000","39,240"
"72310 Carpenters","4,725","36,000","39,520"
"72311 Cabinetmakers","320","40,400","34,600"
"7232 Bricklayers and insulators","515","42,400","47,600"
"72320 Bricklayers","285","42,400","47,600"
"72321 Insulators","230","42,400","47,600"
"724 Technical maintenance trades","13,030","65,000","69,100"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","6,460","80,000","84,100"
"72400 Construction millwrights and industrial mechanics","2,350","97,000","96,900"
"72401 Heavy-duty equipment mechanics","2,940","72,500","76,700"
"72402 Heating, refrigeration and air conditioning mechanics","550","74,500","73,600"
"72403 Railway carmen/women","175","77,500","79,500"
"72404 Aircraft mechanics and aircraft inspectors","290","82,000","76,000"
"72405 Machine fitters","15","0","50,000"
"72406 Elevator constructors and mechanics","125","99,000","92,000"
"7241 Automotive service technicians","6,125","54,000","54,650"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","4,725","54,800","54,850"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","1,400","50,800","53,950"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","450","48,000","49,200"
"72420 Oil and solid fuel heating mechanics","15","0","90,000"
"72421 Appliance servicers and repairers","150","40,000","39,000"
"72422 Electrical mechanics","65","82,000","80,000"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","105","36,400","42,000"
"72429 Other small engine and small equipment repairers","110","44,000","45,000"
"725 Technical equipment operation trades","395","73,500","82,800"
"7250 Crane operators and water well drillers","395","73,500","82,800"
"72500 Crane operators","375","76,500","84,000"
"72501 Water well drillers","20","0","60,000"
"726 Transportation officers and controllers","595","84,000","84,800"
"7260 Transportation officers and controllers","595","84,000","84,800"
"72600 Air pilots, flight engineers and flying instructors","425","87,000","88,000"
"72601 Air traffic controllers and related occupations","95","103,000","100,000"
"72602 Deck officers, water transport","55","32,800","40,000"
"72603 Engineer officers, water transport","0","0","0"
"72604 Railway traffic controllers and marine traffic regulators","15","0","60,000"
"729 Other technical trades","175","40,000","44,800"
"7299 Other technical trades","175","40,000","44,800"
"72999 Other technical trades and related occupations","175","40,000","44,800"
"73 General trades","30,085","44,000","47,840"
"731 General construction trades","3,005","31,400","34,800"
"7310 Concrete finishers, tilesetters and plasterers","910","34,000","40,200"
"73100 Concrete finishers","230","35,600","42,400"
"73101 Tilesetters","115","43,600","44,000"
"73102 Plasterers, drywall installers and finishers and lathers","565","32,800","38,400"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","2,090","28,800","32,440"
"73110 Roofers and shinglers","655","25,800","33,300"
"73111 Glaziers","185","44,000","45,600"
"73112 Painters and decorators (except interior decorators)","930","20,600","25,850"
"73113 Floor covering installers","320","39,600","42,400"
"732 Building maintenance installers, servicers and repairers","5,450","39,200","39,600"
"7320 Building maintenance installers, servicers and repairers","5,450","39,200","39,600"
"73200 Residential and commercial installers and servicers","1,275","30,400","34,300"
"73201 General building maintenance workers and building superintendents","3,770","42,800","42,520"
"73202 Pest controllers and fumigators","175","19,200","27,200"
"73209 Other repairers and servicers","230","26,600","30,800"
"733 Transportation occupations","16,225","45,200","49,080"
"7330 Transport truck and transit drivers","14,910","41,600","45,240"
"73300 Transport truck drivers","11,705","48,800","50,120"
"73301 Bus drivers, subway operators and other transit operators","3,200","20,400","27,520"
"7331 Train crew operating occupations","1,310","96,000","92,700"
"73310 Railway and yard locomotive engineers","590","122,000","110,800"
"73311 Railway conductors and brakemen/women","720","78,000","78,000"
"734 Operators, drillers and blasters","5,400","56,800","59,700"
"7340 Operators, drillers and blasters","5,400","56,800","59,700"
"73400 Heavy equipment operators","5,070","57,200","60,450"
"73401 Printing press operators","165","41,200","38,000"
"73402 Drillers and blasters - surface mining, quarrying and construction","170","62,000","58,400"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","4,525","44,000","47,680"
"741 Mail and message distribution occupations","2,530","41,200","43,360"
"7410 Mail and message distribution occupations","2,530","41,200","43,360"
"74100 Mail and parcel sorters and related occupations","585","36,800","38,000"
"74101 Letter carriers","945","61,600","52,300"
"74102 Couriers and messengers","1,000","30,200","38,000"
"742 Transport equipment operators, utility maintenance and related workers","2,000","48,800","53,150"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","2,000","48,800","53,150"
"74200 Railway yard and track maintenance workers","365","76,500","79,600"
"74201 Water transport deck and engine room crew","30","0","38,000"
"74202 Air transport ramp attendants","170","38,000","40,000"
"74203 Automotive and heavy truck and equipment parts installers and servicers","820","37,200","41,100"
"74204 Utility maintenance workers","355","56,800","63,000"
"74205 Public works maintenance equipment operators and related workers","260","57,200","50,400"
"75 Helpers and labourers and other transport drivers, operators and labourers","16,795","30,000","36,480"
"751 Helpers and labourers","11,880","34,000","39,880"
"7510 Longshore workers and material handlers","4,795","41,200","44,640"
"75100 Longshore workers","25","0","34,000"
"75101 Material handlers","4,770","41,200","44,680"
"7511 Trades helpers and labourers","7,080","29,000","36,640"
"75110 Construction trades helpers and labourers","6,655","29,400","36,720"
"75119 Other trades helpers and labourers","430","27,200","35,400"
"752 Transport drivers, operators and labourers","4,915","20,400","28,320"
"7520 Taxi, personal service and delivery service drivers","3,375","15,000","22,460"
"75200 Taxi and limousine drivers and chauffeurs","1,075","11,100","16,080"
"75201 Delivery service drivers and door-to-door distributors","2,300","17,600","25,440"
"7521 Water and rail transport operators and labourers and related occupations","1,540","40,400","41,080"
"75210 Boat and cable ferry operators and related occupations","15","0","28,000"
"75211 Railway and motor transport labourers","165","65,000","54,000"
"75212 Public works and maintenance labourers","1,355","38,000","39,680"
"8 Natural resources, agriculture and related production occupations","47,325","25,000","39,720"
"80 Middle management occupations in production and agriculture","25,390","19,000","33,120"
"800 Middle management occupations in production and agriculture","25,390","19,000","33,120"
"8001 Managers in natural resources production and fishing","640","162,000","211,000"
"80010 Managers in natural resources production and fishing","640","162,000","211,000"
"8002 Managers in agriculture, horticulture and aquaculture","24,755","18,000","28,520"
"80020 Managers in agriculture","24,610","18,000","28,480"
"80021 Managers in horticulture","145","28,600","39,000"
"80022 Managers in aquaculture","0","0","0"
"82 Supervisors in natural resources, agriculture and related production","2,810","83,000","92,400"
"820 Supervisors in natural resources, agriculture and related production","2,810","83,000","92,400"
"8201 Supervisors, logging and forestry","265","80,000","90,000"
"82010 Supervisors, logging and forestry","265","80,000","90,000"
"8202 Contractors and supervisors, mining, oil and gas","1,740","109,000","114,500"
"82020 Supervisors, mining and quarrying","605","156,000","144,500"
"82021 Contractors and supervisors, oil and gas drilling and services","1,130","99,000","98,400"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","805","45,200","45,100"
"82030 Agricultural service contractors and farm supervisors","280","46,400","46,400"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","525","44,000","44,400"
"83 Occupations in natural resources and related production","2,515","97,000","94,800"
"831 Occupations in natural resources and fisheries","2,515","97,000","94,800"
"8310 Underground miners, oil and gas drillers and related occupations","2,300","101,000","99,200"
"83100 Underground production and development miners","1,490","119,000","117,900"
"83101 Oil and gas well drillers, servicers, testers and related workers","810","62,000","64,800"
"8311 Logging machinery operators","190","50,800","53,200"
"83110 Logging machinery operators","190","50,800","53,200"
"8312 Fishing vessel masters and fishermen/women","30","5,280","7,200"
"83120 Fishing masters and officers","0","0","0"
"83121 Fishermen/women","25","5,000","6,800"
"84 Workers in natural resources, agriculture and related production","7,930","30,800","38,760"
"841 Workers in natural resources and fisheries","7,930","30,800","38,760"
"8410 Mine service workers and operators in oil and gas drilling","845","79,000","83,800"
"84100 Underground mine service and support workers","250","110,000","107,000"
"84101 Oil and gas well drilling and related workers and services operators","595","66,500","74,000"
"8411 Logging and forestry workers","320","31,000","37,200"
"84110 Chain saw and skidder operators","145","37,600","47,000"
"84111 Silviculture and forestry workers","175","23,600","29,200"
"8412 Workers in agriculture and fishing occupations","6,765","27,000","33,200"
"84120 Specialized livestock workers and farm machinery operators","6,720","27,200","33,320"
"84121 Fishing vessel deckhands","45","14,700","17,500"
"85 Harvesting, landscaping and natural resources labourers","8,680","18,400","27,000"
"851 Harvesting, landscaping and natural resources labourers","8,680","18,400","27,000"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","3,210","16,800","24,060"
"85100 Livestock labourers","2,360","20,400","26,320"
"85101 Harvesting labourers","305","13,400","22,200"
"85102 Aquaculture and marine harvest labourers","0","0","0"
"85103 Nursery and greenhouse labourers","510","9,700","14,900"
"85104 Trappers and hunters","20","0","-4,000"
"8511 Mine and oil and gas drilling, services and related labourers","1,290","45,600","52,200"
"85110 Mine labourers","285","68,000","74,500"
"85111 Oil and gas drilling, servicing and related labourers","1,005","41,200","45,800"
"8512 Logging, forestry, landscaping and other related labourers","4,175","14,500","21,440"
"85120 Logging and forestry labourers","125","18,400","24,400"
"85121 Landscaping and grounds maintenance labourers","4,050","14,200","21,360"
"9 Occupations in manufacturing and utilities","18,660","54,800","66,500"
"90 Middle management occupations in manufacturing and utilities","1,745","96,000","101,600"
"900 Middle management occupations in manufacturing and utilities","1,745","96,000","101,600"
"9001 Managers in manufacturing and utilities","1,745","96,000","101,600"
"90010 Manufacturing managers","1,310","88,000","92,600"
"90011 Utilities managers","440","131,000","128,500"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","4,640","73,500","88,700"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","1,350","85,000","96,600"
"9201 Supervisors, processing and manufacturing occupations","1,100","90,000","102,000"
"92010 Supervisors, mineral and metal processing","140","109,000","116,000"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","500","115,000","125,200"
"92012 Supervisors, food and beverage processing","320","68,000","69,000"
"92013 Supervisors, plastic and rubber products manufacturing","30","0","72,000"
"92014 Supervisors, forest products processing","110","73,500","82,000"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","0","0","0"
"9202 Supervisors, assembly and fabrication","255","71,000","73,000"
"92020 Supervisors, motor vehicle assembling","20","0","60,000"
"92021 Supervisors, electronics and electrical products manufacturing","40","86,000","84,000"
"92022 Supervisors, furniture and fixtures manufacturing","0","0","0"
"92023 Supervisors, other mechanical and metal products manufacturing","120","70,500","66,000"
"92024 Supervisors, other products manufacturing and assembly","60","73,000","84,000"
"921 Utilities equipment operators and controllers","3,290","69,000","85,400"
"9210 Utilities equipment operators and controllers","3,290","69,000","85,400"
"92100 Power engineers and power systems operators","2,505","75,000","94,200"
"92101 Water and waste treatment plant operators","785","54,400","57,500"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","1,850","95,000","108,900"
"931 Central control and process operators in processing and manufacturing","1,845","95,000","108,900"
"9310 Central control and process operators in processing and manufacturing","1,845","95,000","108,900"
"93100 Central control and process operators, mineral and metal processing","205","115,000","112,000"
"93101 Central control and process operators, petroleum, gas and chemical processing","1,635","90,000","108,500"
"93102 Pulping, papermaking and coating control operators","0","0","0"
"932 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"9320 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"93200 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","5,990","46,800","48,920"
"941 Processing and manufacturing machine operators and related production workers","3,660","48,400","51,200"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","775","59,200","66,400"
"94100 Machine operators, mineral and metal processing","205","93,000","97,000"
"94101 Foundry workers","0","0","0"
"94102 Glass forming and finishing machine operators and glass cutters","40","50,800","44,000"
"94103 Concrete, clay and stone forming operators","50","44,400","68,000"
"94104 Inspectors and testers, mineral and metal processing","65","85,000","84,000"
"94105 Metalworking and forging machine operators","300","49,600","48,800"
"94106 Machining tool operators","85","52,000","51,000"
"94107 Machine operators of other metal products","25","0","60,000"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","265","55,600","63,200"
"94110 Chemical plant machine operators","120","85,000","88,000"
"94111 Plastics processing machine operators","80","49,200","47,000"
"94112 Rubber processing machine operators and related workers","65","41,200","38,000"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","295","53,200","53,600"
"94120 Sawmill machine operators","130","54,000","51,000"
"94121 Pulp mill, papermaking and finishing machine operators","50","95,000","70,000"
"94122 Paper converting machine operators","0","0","0"
"94123 Lumber graders and other wood processing inspectors and graders","15","0","80,000"
"94124 Woodworking machine operators","50","51,600","44,000"
"94129 Other wood processing machine operators","45","49,200","50,000"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","245","26,200","24,400"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","35","12,700","18,000"
"94131 Weavers, knitters and other fabric making occupations","20","0","24,000"
"94132 Industrial sewing machine operators","185","28,800","25,600"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","0","0","0"
"9414 Machine operators and related workers in food, beverage and associated products processing","1,835","48,400","48,400"
"94140 Process control and machine operators, food and beverage processing","1,255","53,600","53,000"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","415","41,200","38,400"
"94142 Fish and seafood plant workers","35","18,400","22,000"
"94143 Testers and graders, food and beverage processing","130","43,200","42,000"
"9415 Printing equipment operators and related occupations","245","33,600","35,200"
"94150 Plateless printing equipment operators","85","38,400","37,000"
"94151 Camera, platemaking and other prepress occupations","30","0","36,000"
"94152 Binding and finishing machine operators","90","34,000","32,000"
"94153 Photographic and film processors","40","26,000","37,000"
"942 Assemblers and inspectors in manufacturing","2,335","46,000","45,360"
"9420 Mechanical, electrical and electronics assemblers and inspectors","1,210","46,000","44,300"
"94200 Motor vehicle assemblers, inspectors and testers","185","36,000","38,400"
"94201 Electronics assemblers, fabricators, inspectors and testers","130","40,000","42,000"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","75","18,200","27,000"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","65","56,000","58,000"
"94204 Mechanical assemblers and inspectors","740","48,800","46,500"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","0","0","0"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","1,120","46,000","46,500"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","180","42,000","38,800"
"94211 Assemblers and inspectors of other wood products","145","32,800","34,000"
"94212 Plastic products assemblers, finishers and inspectors","45","40,000","40,000"
"94213 Industrial painters, coaters and metal finishing process operators","515","56,400","54,200"
"94219 Other products assemblers, finishers and inspectors","235","36,400","44,400"
"95 Labourers in processing, manufacturing and utilities","4,430","31,800","35,560"
"951 Labourers in processing, manufacturing and utilities","4,430","31,800","35,560"
"9510 Labourers in processing, manufacturing and utilities","4,430","31,800","35,560"
"95100 Labourers in mineral and metal processing","290","49,600","52,400"
"95101 Labourers in metal fabrication","315","35,200","42,000"
"95102 Labourers in chemical products processing and utilities","250","47,200","56,400"
"95103 Labourers in wood, pulp and paper processing","270","41,600","43,600"
"95104 Labourers in rubber and plastic products manufacturing","105","39,600","39,000"
"95105 Labourers in textile processing and cutting","35","19,400","22,000"
"95106 Labourers in food and beverage processing","1,540","35,600","35,120"
"95107 Labourers in fish and seafood processing","30","8,900","12,000"
"95109 Other labourers in processing, manufacturing and utilities","1,600","21,600","27,640"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i9,"Geography name: Saskatchewan; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Sask.; Dissemination Geography Unique Identifier (DGUID): 2021A000247; Alternative geographic code: 47; Province or territory geocode: 47; Long-form total non-response rate: 6.5; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
4,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
5,"Age  Age refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date).  Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).  Gender includes the following concepts:  gender identity, which refers to the gender that a person feels internally and individually;  gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.  Some people may not identify with a specific gender.  Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
6,""Visible minority" refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese.   In 2021 Census analytical and communications products, the term "visible minority" has been replaced by the terms "racialized population" or "racialized groups", reflecting the increased use of these terms in the public sphere."
7,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
9,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
11,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
