"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","British Columbia i11",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"20010 Engineering managers","4,080","116,000","130,800"
"20011 Architecture and science managers","1,995","94,000","104,800"
"20012 Computer and information systems managers","10,225","112,000","139,000"
"21 Professional occupations in natural and applied sciences","117,410","81,000","92,100"
"211 Professional occupations in natural sciences","16,205","72,000","79,200"
"2110 Physical science professionals","4,655","71,500","92,400"
"21100 Physicists and astronomers","460","93,000","96,800"
"21101 Chemists","1,715","61,600","72,400"
"21102 Geoscientists and oceanographers","2,270","78,500","107,800"
"21103 Meteorologists and climatologists","145","94,000","86,000"
"21109 Other professional occupations in physical sciences","65","70,000","68,000"
"2111 Life science professionals","8,795","72,000","73,800"
"21110 Biologists and related scientists","6,095","70,000","73,600"
"21111 Forestry professionals","2,260","78,500","79,100"
"21112 Agricultural representatives, consultants and specialists","440","49,600","49,600"
"2112 Public and environmental health and safety professionals","2,755","73,500","73,900"
"21120 Public and environmental health and safety professionals","2,755","73,500","73,900"
"212 Professional occupations in applied sciences (except engineering)","71,115","81,000","92,100"
"2120 Architects, urban planners and land surveyors","7,560","76,000","82,100"
"21200 Architects","3,250","73,000","86,900"
"21201 Landscape architects","280","76,000","68,500"
"21202 Urban and land use planners","3,000","79,000","80,400"
"21203 Land surveyors","1,030","72,500","75,400"
"2121 Mathematicians, statisticians, actuaries and data scientists","2,460","84,000","97,900"
"21210 Mathematicians, statisticians and actuaries","735","86,000","103,200"
"21211 Data scientists","1,725","83,000","95,600"
"2122 Computer and information systems professionals","19,875","78,500","80,900"
"21220 Cybersecurity specialists","1,295","91,000","98,500"
"21221 Business systems specialists","3,860","77,500","76,600"
"21222 Information systems specialists","12,325","78,500","81,300"
"21223 Database analysts and data administrators","2,395","72,500","76,600"
"2123 Computer, software and Web designers and developers","41,210","83,000","99,000"
"21230 Computer systems developers and programmers","3,205","76,500","80,500"
"21231 Software engineers and designers","16,870","101,000","126,400"
"21232 Software developers and programmers","12,170","84,000","95,300"
"21233 Web designers","2,065","34,400","41,840"
"21234 Web developers and programmers","6,905","58,400","64,200"
"213 Professional occupations in engineering","30,095","88,000","99,000"
"2130 Civil and mechanical engineers","15,200","84,000","95,300"
"21300 Civil engineers","9,335","87,000","99,100"
"21301 Mechanical engineers","5,865","78,500","89,300"
"2131 Electrical, electronics and computer engineers","8,540","93,000","103,000"
"21310 Electrical and electronics engineers","6,160","91,000","99,700"
"21311 Computer engineers (except software engineers and designers)","2,380","98,000","111,400"
"2132 Manufacturing and processing engineers","2,675","79,500","93,600"
"21320 Chemical engineers","1,040","86,000","108,400"
"21321 Industrial and manufacturing engineers","1,340","77,000","85,000"
"21322 Metallurgical and materials engineers","295","74,500","81,000"
"2133 Natural resources engineers","1,900","103,000","123,900"
"21330 Mining engineers","685","111,000","141,600"
"21331 Geological engineers","1,085","96,000","112,400"
"21332 Petroleum engineers","130","102,000","128,000"
"2139 Other engineers","1,775","93,000","93,600"
"21390 Aerospace engineers","225","85,000","90,000"
"21399 Other professional engineers","1,555","96,000","94,000"
"22 Technical occupations related to natural and applied sciences","66,685","60,800","63,150"
"221 Technical occupations related to natural sciences","11,600","47,600","51,800"
"2210 Technical occupations in physical sciences","1,925","54,400","69,500"
"22100 Chemical technologists and technicians","880","48,000","53,700"
"22101 Geological and mineral technologists and technicians","1,040","64,500","82,800"
"2211 Technical occupations in life sciences","9,680","46,400","48,320"
"22110 Biological technologists and technicians","1,700","47,200","46,360"
"22111 Agricultural and fish products inspectors","500","62,000","60,800"
"22112 Forestry technologists and technicians","2,235","54,000","54,250"
"22113 Conservation and fishery officers","715","68,000","61,600"
"22114 Landscape and horticulture technicians and specialists","4,520","39,600","42,600"
"222 Technical occupations related to applied sciences (except engineering)","30,835","62,800","64,300"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","9,300","56,800","58,300"
"22210 Architectural technologists and technicians","1,840","54,800","55,150"
"22211 Industrial designers","1,290","56,000","64,000"
"22212 Drafting technologists and technicians","3,905","55,200","56,200"
"22213 Land survey technologists and technicians","425","55,600","60,400"
"22214 Technical occupations in geomatics and meteorology","1,845","63,600","61,250"
"2222 Technical occupations in computer and information systems","15,140","63,200","64,300"
"22220 Computer network and web technicians","7,210","68,500","68,800"
"22221 User support technicians","6,860","59,200","60,700"
"22222 Information systems testing technicians","1,070","55,200","57,300"
"2223 Technical inspectors and regulatory officers","6,395","73,500","73,000"
"22230 Non-destructive testers and inspectors","575","88,000","94,000"
"22231 Engineering inspectors and regulatory officers","610","93,000","92,000"
"22232 Occupational health and safety specialists","2,590","71,500","71,300"
"22233 Construction inspectors","2,620","68,000","65,600"
"223 Technical occupations related to engineering","24,250","64,500","67,100"
"2230 Technical occupations in civil, mechanical and industrial engineering","10,600","70,000","73,500"
"22300 Civil engineering technologists and technicians","2,650","70,500","69,900"
"22301 Mechanical engineering technologists and technicians","2,835","71,000","74,500"
"22302 Industrial engineering and manufacturing technologists and technicians","1,515","57,600","63,100"
"22303 Construction estimators","3,600","73,500","79,600"
"2231 Technical occupations in electronics and electrical engineering","13,650","60,000","62,050"
"22310 Electrical and electronics engineering technologists and technicians","4,925","65,000","66,600"
"22311 Electronic service technicians (household and business equipment)","7,210","51,600","53,050"
"22312 Industrial instrument technicians and mechanics","905","105,000","101,800"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","610","74,500","73,200"
"3 Health occupations","193,210","55,600","64,900"
"30 Specialized middle management occupations in health care","5,030","94,000","91,400"
"300 Specialized middle management occupations in health care","5,030","94,000","91,400"
"3001 Managers in health care","5,030","94,000","91,400"
"30010 Managers in health care","5,030","94,000","91,400"
"31 Professional occupations in health","87,275","82,000","87,500"
"311 Health treating and consultation services professionals","27,955","93,000","114,100"
"3110 Physicians and veterinarians","15,440","120,000","141,800"
"31100 Specialists in clinical and laboratory medicine","4,935","145,000","168,000"
"31101 Specialists in surgery","1,480","152,000","182,000"
"31102 General practitioners and family physicians","7,615","107,000","126,200"
"31103 Veterinarians","1,420","88,000","92,200"
"3111 Dentists, optometrists and audiologists","5,255","73,000","81,100"
"31110 Dentists","3,015","78,000","90,200"
"31111 Optometrists","755","79,500","82,200"
"31112 Audiologists and speech-language pathologists","1,485","68,000","62,000"
"3112 Pharmacists and dietitians","7,265","84,000","79,400"
"31120 Pharmacists","5,930","91,000","84,700"
"31121 Dietitians and nutritionists","1,335","60,800","55,950"
"312 Therapy and assessment professionals","12,325","62,000","63,100"
"3120 Therapy and assessment professionals","12,325","62,000","63,100"
"31200 Psychologists","1,895","79,500","80,000"
"31201 Chiropractors","1,175","51,200","65,600"
"31202 Physiotherapists","4,090","69,500","65,700"
"31203 Occupational therapists","2,570","72,500","68,400"
"31204 Kinesiologists and other professional occupations in therapy and assessment","1,810","31,600","36,000"
"31209 Other professional occupations in health diagnosing and treating","770","35,600","49,700"
"313 Nursing and allied health professionals","46,990","82,000","78,000"
"3130 Nursing and allied health professionals","46,990","82,000","78,000"
"31300 Nursing coordinators and supervisors","1,710","90,000","82,800"
"31301 Registered nurses and registered psychiatric nurses","44,310","82,000","77,500"
"31302 Nurse practitioners","680","116,000","110,400"
"31303 Physician assistants, midwives and allied health professionals","295","67,000","62,800"
"32 Technical occupations in health","42,640","49,200","50,040"
"321 Technical occupations in health (except practitioners of natural healing)","34,185","54,800","55,250"
"3210 Technical occupations in therapy and assessment","19,775","52,000","53,250"
"32100 Opticians","1,420","38,000","40,320"
"32101 Licensed practical nurses","7,940","58,800","56,150"
"32102 Paramedical occupations","3,750","70,500","68,900"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","1,365","81,000","78,000"
"32104 Animal health technologists and veterinary technicians","3,300","30,400","31,440"
"32109 Other technical occupations in therapy and assessment","2,010","41,600","40,680"
"3211 Technical occupations in dental health care","4,680","48,800","47,720"
"32110 Denturists","220","42,800","52,000"
"32111 Dental hygienists and dental therapists","3,595","51,600","48,840"
"32112 Dental technologists and technicians","860","38,800","41,800"
"3212 Medical technologists and technicians","9,730","64,500","62,900"
"32120 Medical laboratory technologists","2,645","77,000","70,800"
"32121 Medical radiation technologists","2,645","75,000","69,500"
"32122 Medical sonographers","895","78,500","72,200"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","570","59,200","59,600"
"32124 Pharmacy technicians","2,555","49,200","47,560"
"32129 Other medical technologists and technicians","415","46,400","49,600"
"322 Practitioners of natural healing","8,450","24,000","29,080"
"3220 Practitioners of natural healing","8,450","24,000","29,080"
"32200 Traditional Chinese medicine practitioners and acupuncturists","1,355","16,800","23,620"
"32201 Massage therapists","6,210","28,600","32,160"
"32209 Other practitioners of natural healing","885","8,400","15,920"
"33 Assisting occupations in support of health services","58,270","39,200","39,520"
"331 Assisting occupations in support of health services","58,270","39,200","39,520"
"3310 Assisting occupations in support of health services","58,270","39,200","39,520"
"33100 Dental assistants and dental laboratory assistants","6,115","34,000","33,400"
"33101 Medical laboratory assistants and related technical occupations","3,645","45,200","42,480"
"33102 Nurse aides, orderlies and patient service associates","39,530","42,000","41,120"
"33103 Pharmacy technical assistants and pharmacy assistants","4,070","27,600","28,320"
"33109 Other assisting occupations in support of health services","4,905","31,000","41,080"
"4 Occupations in education, law and social, community and government services","302,800","52,400","60,600"
"40 Managers in public administration, in education and social and community services and in public protection services","19,280","89,000","90,200"
"400 Managers in public administration, in education and social and community services and in public protection services","19,280","89,000","90,200"
"4001 Managers in public administration","3,585","97,000","99,400"
"40010 Government managers - health and social policy development and program administration","1,175","97,000","99,800"
"40011 Government managers - economic analysis, policy development and program administration","1,510","100,000","104,800"
"40012 Government managers - education policy development and program administration","295","88,000","90,000"
"40019 Other managers in public administration","605","91,000","89,600"
"4002 Managers in education","7,550","111,000","103,300"
"40020 Administrators - post-secondary education and vocational training","3,190","82,000","87,300"
"40021 School principals and administrators of elementary and secondary education","4,360","121,000","115,000"
"4003 Managers in social, community and correctional services","5,375","62,800","66,000"
"40030 Managers in social, community and correctional services","5,375","62,800","66,000"
"4004 Managers in public protection services","2,775","90,000","89,900"
"40040 Commissioned police officers and related occupations in public protection services","175","123,000","137,000"
"40041 Fire chiefs and senior firefighting officers","560","126,000","115,200"
"40042 Commissioned officers of the Canadian Armed Forces","2,035","84,000","78,800"
"41 Professional occupations in law, education, social, community and government services","157,185","65,000","70,500"
"411 Professional occupations in law","13,665","111,000","143,800"
"4110 Judges, lawyers and Quebec notaries","13,665","111,000","143,800"
"41100 Judges","400","274,000","256,000"
"41101 Lawyers and Quebec notaries","13,270","109,000","140,600"
"412 Professional occupations in education services","88,185","65,500","64,800"
"4120 University professors and post-secondary assistants","24,250","42,400","64,900"
"41200 University professors and lecturers","11,235","103,000","108,900"
"41201 Post-secondary teaching and research assistants","13,015","13,400","26,960"
"4121 College and other vocational instructors","12,260","64,500","64,400"
"41210 College and other vocational instructors","12,260","64,500","64,400"
"4122 Secondary, elementary and kindergarten school teachers","51,675","70,000","64,900"
"41220 Secondary school teachers","18,325","78,000","70,300"
"41221 Elementary school and kindergarten teachers","33,350","66,000","61,950"
"413 Professional occupations in social and community services","26,740","56,800","56,500"
"4130 Social and community service professionals","19,015","56,000","55,000"
"41300 Social workers","7,595","68,000","64,500"
"41301 Therapists in counselling and related specialized therapies","6,925","44,400","47,600"
"41302 Religious leaders","4,495","49,200","50,400"
"4131 Police investigators and probation officers","1,425","77,000","80,700"
"41310 Police investigators and other investigative occupations","535","106,000","98,000"
"41311 Probation and parole officers","890","74,000","70,200"
"4132 Educational and employment counsellors","6,295","53,200","55,500"
"41320 Educational counsellors","4,645","57,600","57,500"
"41321 Career development practitioners and career counsellors (except education)","1,655","49,200","49,960"
"414 Professional occupations in government services","28,595","62,000","66,000"
"4140 Policy and program researchers, consultants and officers","28,595","62,000","66,000"
"41400 Natural and applied science policy researchers, consultants and program officers","5,245","75,000","77,200"
"41401 Economists and economic policy researchers and analysts","1,850","85,000","88,600"
"41402 Business development officers and market researchers and analysts","5,165","62,400","76,500"
"41403 Social policy researchers, consultants and program officers","4,920","58,400","57,650"
"41404 Health policy researchers, consultants and program officers","3,700","62,800","64,600"
"41405 Education policy researchers, consultants and program officers","3,700","45,600","48,800"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","1,405","52,800","52,050"
"41407 Program officers unique to government","1,385","56,000","57,450"
"41409 Other professional occupations in social science","1,220","52,000","55,100"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","73,475","42,800","50,120"
