Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
2111 Life science professionals,"2,180","70,500","71,200",Saskatchewan
21110 Biologists and related scientists,"1,040","70,500","74,000",Saskatchewan
21111 Forestry professionals,50,"35,600","50,000",Saskatchewan
"21112 Agricultural representatives, consultants and specialists","1,095","70,000","69,600",Saskatchewan
2112 Public and environmental health and safety professionals,695,"82,000","76,600",Saskatchewan
21120 Public and environmental health and safety professionals,695,"82,000","76,600",Saskatchewan
212 Professional occupations in applied sciences (except engineering),"6,835","77,000","78,800",Saskatchewan
"2120 Architects, urban planners and land surveyors",645,"77,500","83,000",Saskatchewan
21200 Architects,125,"71,500","76,000",Saskatchewan
21201 Landscape architects,35,"39,200","44,000",Saskatchewan
21202 Urban and land use planners,355,"87,000","90,400",Saskatchewan
21203 Land surveyors,135,"77,500","79,000",Saskatchewan
"2121 Mathematicians, statisticians, actuaries and data scientists",315,"95,000","92,000",Saskatchewan
"21210 Mathematicians, statisticians and actuaries",170,"82,000","89,000",Saskatchewan
21211 Data scientists,140,"98,000","96,000",Saskatchewan
2122 Computer and information systems professionals,"2,935","81,000","81,600",Saskatchewan
21220 Cybersecurity specialists,145,"80,000","79,000",Saskatchewan
21221 Business systems specialists,410,"83,000","82,000",Saskatchewan
21222 Information systems specialists,"2,050","81,000","82,200",Saskatchewan
21223 Database analysts and data administrators,325,"79,000","78,800",Saskatchewan
"2123 Computer, software and Web designers and developers","2,945","72,000","73,500",Saskatchewan
21230 Computer systems developers and programmers,560,"81,000","91,200",Saskatchewan
21231 Software engineers and designers,555,"82,000","86,800",Saskatchewan
21232 Software developers and programmers,"1,120","75,000","77,200",Saskatchewan
21233 Web designers,145,"14,300","27,200",Saskatchewan
21234 Web developers and programmers,565,"44,000","47,600",Saskatchewan
213 Professional occupations in engineering,"4,725","94,000","102,000",Saskatchewan
2130 Civil and mechanical engineers,"2,600","89,000","97,200",Saskatchewan
21300 Civil engineers,"1,640","85,000","91,900",Saskatchewan
21301 Mechanical engineers,960,"97,000","106,200",Saskatchewan
"2131 Electrical, electronics and computer engineers","1,050","102,000","106,000",Saskatchewan
21310 Electrical and electronics engineers,820,"105,000","106,600",Saskatchewan
21311 Computer engineers (except software engineers and designers),230,"96,000","104,000",Saskatchewan
2132 Manufacturing and processing engineers,525,"85,000","97,200",Saskatchewan
21320 Chemical engineers,230,"75,000","100,000",Saskatchewan
21321 Industrial and manufacturing engineers,255,"85,000","90,000",Saskatchewan
21322 Metallurgical and materials engineers,35,"101,000","130,000",Saskatchewan
2133 Natural resources engineers,480,"110,000","124,400",Saskatchewan
21330 Mining engineers,175,"118,000","132,000",Saskatchewan
21331 Geological engineers,130,"104,000","128,000",Saskatchewan
21332 Petroleum engineers,175,"94,000","114,000",Saskatchewan
2139 Other engineers,70,"94,000","100,000",Saskatchewan
21390 Aerospace engineers,0,0,0,Saskatchewan
21399 Other professional engineers,70,"91,000","100,000",Saskatchewan
22 Technical occupations related to natural and applied sciences,"12,880","67,500","69,200",Saskatchewan
221 Technical occupations related to natural sciences,"1,850","62,000","65,600",Saskatchewan
2210 Technical occupations in physical sciences,585,"86,000","98,400",Saskatchewan
22100 Chemical technologists and technicians,245,"78,500","78,000",Saskatchewan
22101 Geological and mineral technologists and technicians,340,"103,000","113,200",Saskatchewan
2211 Technical occupations in life sciences,"1,265","48,000","50,400",Saskatchewan
22110 Biological technologists and technicians,395,"59,200","51,000",Saskatchewan
22111 Agricultural and fish products inspectors,225,"45,200","47,600",Saskatchewan
22112 Forestry technologists and technicians,50,"60,400","54,000",Saskatchewan
22113 Conservation and fishery officers,145,"90,000","80,000",Saskatchewan
22114 Landscape and horticulture technicians and specialists,455,"36,000","41,000",Saskatchewan
222 Technical occupations related to applied sciences (except engineering),"5,710","68,000","67,700",Saskatchewan
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","1,315","64,000","63,350",Saskatchewan
22210 Architectural technologists and technicians,260,"59,200","58,400",Saskatchewan
22211 Industrial designers,75,"53,600","62,000",Saskatchewan
22212 Drafting technologists and technicians,680,"65,000","66,400",Saskatchewan
22213 Land survey technologists and technicians,95,"35,200","49,000",Saskatchewan
22214 Technical occupations in geomatics and meteorology,200,"65,000","67,000",Saskatchewan
2222 Technical occupations in computer and information systems,"2,660","67,500","65,200",Saskatchewan
22220 Computer network and web technicians,"1,375","74,500","70,600",Saskatchewan
22221 User support technicians,"1,195","59,600","58,700",Saskatchewan
22222 Information systems testing technicians,85,"75,000","68,000",Saskatchewan
2223 Technical inspectors and regulatory officers,"1,735","75,500","74,900",Saskatchewan
22230 Non-destructive testers and inspectors,320,"82,000","76,000",Saskatchewan
22231 Engineering inspectors and regulatory officers,175,"100,000","89,000",Saskatchewan
22232 Occupational health and safety specialists,670,"73,500","74,400",Saskatchewan
22233 Construction inspectors,570,"68,500","70,800",Saskatchewan
223 Technical occupations related to engineering,"5,320","69,000","72,000",Saskatchewan
"2230 Technical occupations in civil, mechanical and industrial engineering","1,955","75,500","74,500",Saskatchewan
22300 Civil engineering technologists and technicians,640,"67,000","66,800",Saskatchewan
22301 Mechanical engineering technologists and technicians,530,"88,000","82,800",Saskatchewan
22302 Industrial engineering and manufacturing technologists and technicians,230,"62,000","68,500",Saskatchewan
22303 Construction estimators,550,"82,000","78,000",Saskatchewan
2231 Technical occupations in electronics and electrical engineering,"3,365","66,000","70,500",Saskatchewan
22310 Electrical and electronics engineering technologists and technicians,985,"79,500","80,800",Saskatchewan
22311 Electronic service technicians (household and business equipment),"1,775","57,200","55,900",Saskatchewan
22312 Industrial instrument technicians and mechanics,540,"100,000","99,600",Saskatchewan
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",70,"77,000","74,000",Saskatchewan
3 Health occupations,"48,785","53,600","62,700",Saskatchewan
30 Specialized middle management occupations in health care,"1,260","99,000","92,800",Saskatchewan
300 Specialized middle management occupations in health care,"1,260","99,000","92,800",Saskatchewan
3001 Managers in health care,"1,260","99,000","92,800",Saskatchewan
30010 Managers in health care,"1,260","99,000","92,800",Saskatchewan
31 Professional occupations in health,"20,775","82,000","85,600",Saskatchewan
311 Health treating and consultation services professionals,"5,725","88,000","108,500",Saskatchewan
3110 Physicians and veterinarians,"2,810","92,000","137,400",Saskatchewan
31100 Specialists in clinical and laboratory medicine,860,"114,000","169,600",Saskatchewan
31101 Specialists in surgery,285,"97,000","152,000",Saskatchewan
31102 General practitioners and family physicians,"1,240","96,000","132,800",Saskatchewan
31103 Veterinarians,425,"72,000","76,000",Saskatchewan
"3111 Dentists, optometrists and audiologists","1,030","71,500","74,000",Saskatchewan
31110 Dentists,405,"77,500","79,200",Saskatchewan
31111 Optometrists,175,"54,000","65,000",Saskatchewan
31112 Audiologists and speech-language pathologists,445,"74,000","72,400",Saskatchewan
3112 Pharmacists and dietitians,"1,890","91,000","84,300",Saskatchewan
31120 Pharmacists,"1,585","96,000","89,000",Saskatchewan
31121 Dietitians and nutritionists,300,"70,000","59,200",Saskatchewan
312 Therapy and assessment professionals,"2,085","71,500","65,500",Saskatchewan
3120 Therapy and assessment professionals,"2,085","71,500","65,500",Saskatchewan
31200 Psychologists,450,"92,000","81,600",Saskatchewan
31201 Chiropractors,190,"43,200","46,000",Saskatchewan
31202 Physiotherapists,775,"73,000","65,600",Saskatchewan
31203 Occupational therapists,330,"77,000","67,600",Saskatchewan
31204 Kinesiologists and other professional occupations in therapy and assessment,265,"51,600","49,600",Saskatchewan
31209 Other professional occupations in health diagnosing and treating,70,"23,200","64,000",Saskatchewan
313 Nursing and allied health professionals,"12,960","82,000","78,800",Saskatchewan
3130 Nursing and allied health professionals,"12,960","82,000","78,800",Saskatchewan
31300 Nursing coordinators and supervisors,325,"95,000","92,400",Saskatchewan
31301 Registered nurses and registered psychiatric nurses,"12,390","82,000","78,000",Saskatchewan
31302 Nurse practitioners,195,"116,000","110,000",Saskatchewan
"31303 Physician assistants, midwives and allied health professionals",50,"79,000","64,000",Saskatchewan
32 Technical occupations in health,"10,090","57,200","55,750",Saskatchewan
321 Technical occupations in health (except practitioners of natural healing),"8,520","63,600","61,050",Saskatchewan
3210 Technical occupations in therapy and assessment,"4,855","62,800","60,950",Saskatchewan
32100 Opticians,260,"45,600","47,600",Saskatchewan
32101 Licensed practical nurses,"2,450","68,500","62,750",Saskatchewan
32102 Paramedical occupations,"1,015","77,000","75,600",Saskatchewan
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",245,"77,000","77,000",Saskatchewan
32104 Animal health technologists and veterinary technicians,600,"36,400","36,400",Saskatchewan
32109 Other technical occupations in therapy and assessment,290,"46,000","44,400",Saskatchewan
3211 Technical occupations in dental health care,935,"57,600","58,500",Saskatchewan
32110 Denturists,70,"72,500","72,000",Saskatchewan
32111 Dental hygienists and dental therapists,710,"60,400","60,600",Saskatchewan
32112 Dental technologists and technicians,155,"39,200","42,000",Saskatchewan
3212 Medical technologists and technicians,"2,725","68,000","62,150",Saskatchewan
32120 Medical laboratory technologists,845,"73,500","66,200",Saskatchewan
32121 Medical radiation technologists,785,"75,500","67,000",Saskatchewan
32122 Medical sonographers,190,"79,500","72,000",Saskatchewan
32123 Cardiology technologists and electrophysiological diagnostic technologists,100,"73,000","69,000",Saskatchewan
32124 Pharmacy technicians,725,"54,000","48,100",Saskatchewan
32129 Other medical technologists and technicians,80,"64,500","66,000",Saskatchewan
322 Practitioners of natural healing,"1,570","22,800","27,040",Saskatchewan
3220 Practitioners of natural healing,"1,570","22,800","27,040",Saskatchewan
32200 Traditional Chinese medicine practitioners and acupuncturists,60,"33,200","52,000",Saskatchewan
32201 Massage therapists,"1,400","23,800","27,000",Saskatchewan
32209 Other practitioners of natural healing,110,"5,240","14,400",Saskatchewan
33 Assisting occupations in support of health services,"16,660","37,600","36,080",Saskatchewan
331 Assisting occupations in support of health services,"16,660","37,600","36,080",Saskatchewan
3310 Assisting occupations in support of health services,"16,660","37,600","36,080",Saskatchewan
33100 Dental assistants and dental laboratory assistants,"1,165","40,400","39,600",Saskatchewan
33101 Medical laboratory assistants and related technical occupations,580,"44,400","42,200",Saskatchewan
"33102 Nurse aides, orderlies and patient service associates","12,860","37,600","36,120",Saskatchewan
33103 Pharmacy technical assistants and pharmacy assistants,895,"26,400","27,850",Saskatchewan
33109 Other assisting occupations in support of health services,"1,165","36,800","35,500",Saskatchewan
"4 Occupations in education, law and social, community and government services","69,745","54,800","59,800",Saskatchewan
"40 Managers in public administration, in education and social and community services and in public protection services","4,250","99,000","94,200",Saskatchewan
"400 Managers in public administration, in education and social and community services and in public protection services","4,250","99,000","94,200",Saskatchewan
4001 Managers in public administration,765,"102,000","103,200",Saskatchewan
40010 Government managers - health and social policy development and program administration,225,"104,000","105,000",Saskatchewan
"40011 Government managers - economic analysis, policy development and program administration",265,"109,000","103,000",Saskatchewan
40012 Government managers - education policy development and program administration,110,"113,000","112,000",Saskatchewan
40019 Other managers in public administration,160,"94,000","96,000",Saskatchewan
4002 Managers in education,"1,860","107,000","106,800",Saskatchewan
40020 Administrators - post-secondary education and vocational training,530,"87,000","102,400",Saskatchewan
40021 School principals and administrators of elementary and secondary education,"1,330","110,000","108,600",Saskatchewan
"4003 Managers in social, community and correctional services","1,145","62,400","70,400",Saskatchewan
"40030 Managers in social, community and correctional services","1,145","62,400","70,400",Saskatchewan
4004 Managers in public protection services,480,"93,000","88,000",Saskatchewan
40040 Commissioned police officers and related occupations in public protection services,45,"120,000","128,000",Saskatchewan
40041 Fire chiefs and senior firefighting officers,55,"106,000","100,000",Saskatchewan
40042 Commissioned officers of the Canadian Armed Forces,375,"88,000","80,800",Saskatchewan
"41 Professional occupations in law, education, social, community and government services","35,265","71,000","69,400",Saskatchewan
411 Professional occupations in law,"1,815","107,000","125,100",Saskatchewan
"4110 Judges, lawyers and Quebec notaries","1,815","107,000","125,100",Saskatchewan
41100 Judges,130,"318,000","280,000",Saskatchewan
41101 Lawyers and Quebec notaries,"1,685","102,000","113,000",Saskatchewan
412 Professional occupations in education services,"22,160","74,000","68,000",Saskatchewan
4120 University professors and post-secondary assistants,"4,695","60,400","76,000",Saskatchewan
41200 University professors and lecturers,"2,320","122,000","118,500",Saskatchewan
41201 Post-secondary teaching and research assistants,"2,370","18,200","34,440",Saskatchewan
4121 College and other vocational instructors,"2,270","77,500","69,300",Saskatchewan
41210 College and other vocational instructors,"2,270","77,500","69,300",Saskatchewan
"4122 Secondary, elementary and kindergarten school teachers","15,195","75,000","65,400",Saskatchewan
41220 Secondary school teachers,"4,635","84,000","70,400",Saskatchewan
41221 Elementary school and kindergarten teachers,"10,560","72,000","63,150",Saskatchewan
413 Professional occupations in social and community services,"5,850","62,000","58,650",Saskatchewan
4130 Social and community service professionals,"4,420","58,800","55,300",Saskatchewan
41300 Social workers,"2,375","66,500","61,600",Saskatchewan
41301 Therapists in counselling and related specialized therapies,675,"56,400","55,100",Saskatchewan
